Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.3938	0.0497	2144	YDR017C	KCS1
0.3767	0.0324	1404	YKL006W	RPL14A
0.3652	0.0291	3667	YLL045C	RPL8B
0.3527	0.0306	227	YBR031W	RPL4A
0.3507	0.0360	884	YER156C	MYG1
0.3485	0.0312	3757	YLR068W	FYV7
0.3324	0.0436	127	YBL039C	URA7
0.3312	0.0339	5469	YOR258W	HNT3
0.3277	0.0311	1960	YDL082W	RPL13A
0.3168	0.0370	3494	YJR032W	CPR7
0.3134	0.0333	461	YBR267W	REI1
0.3057	0.0283	3093	YGR148C	RPL24B
0.3000	0.0420	4544	YMR242C	RPL20A
0.2997	0.0432	3580	YJR118C	ILM1
0.2990	0.0309	5712	YPL106C	SSE1
0.2947	0.0290	977	YHR010W	RPL27A
0.2940	0.0361	5395	YOR183W	FYV12
0.2935	0.0305	2248	YDR121W	DPB4
0.2928	0.0297	5088	YOL039W	RPP2A
0.2925	0.0312	3517	YJR055W	HIT1
0.2923	0.0357	2757	YGL076C	RPL7A
0.2889	0.0321	2713	YGL031C	RPL24A
0.2861	0.0449	4712	YNL079C	TPM1
0.2831	0.0289	3418	YJL177W	RPL17B
0.2766	0.0318	3430	YJL189W	RPL39
0.2738	0.0307	472	YBR278W	DPB3
0.2717	0.0321	1793	YFR001W	LOC1
0.2686	0.0358	4073	YLR382C	NAM2
0.2684	0.0333	5784	YPL178W	CBC2
0.2663	0.0307	5674	YPL068C	YPL068C
0.2660	0.0267	5291	YOR078W	BUD21
0.2636	0.0373	2666	YDR540C	IRC4
0.2625	0.0299	867	YER139C	RTR1
0.2610	0.0316	2574	YDR447C	RPS17B
0.2606	0.0325	1959	YDL081C	RPP1A
0.2584	0.0320	1644	YKR024C	DBP7
0.2581	0.0343	4231	YML073C	RPL6A
0.2581	0.0380	3377	YJL136C	RPS21B
0.2575	0.0356	1256	YIL069C	RPS24B
0.2573	0.0317	781	YER050C	RSM18
0.2570	0.0287	4138	YLR448W	RPL6B
0.2568	0.0319	1247	YIL060W	YIL060W
0.2554	0.0363	608	YCR051W	YCR051W
0.2542	0.0389	2512	YDR385W	EFT2
0.2523	0.0315	2070	YDL191W	RPL35A
0.2520	0.0235	1712	YKR092C	SRP40
0.2511	0.0341	4569	YMR267W	PPA2
0.2508	0.0328	688	YEL033W	MTC7
0.2480	0.0316	2828	YGL147C	RPL9A
0.2479	0.0347	362	YBR168W	PEX32
0.2477	0.0312	3977	YLR287C-A	RPS30A
0.2457	0.0304	5724	YPL118W	MRP51
0.2457	0.0290	4439	YMR142C	RPL13B
0.2414	0.0353	2425	YDR298C	ATP5
0.2408	0.0323	126	YBL038W	MRPL16
0.2391	0.0300	5992	YPR106W	ISR1
0.2389	0.0272	559	YCR003W	MRPL32
0.2379	0.0361	5524	YOR312C	RPL20B
0.2371	0.0349	1856	YFR031C-A	RPL2A
0.2358	0.0354	1227	YIL040W	APQ12
0.2345	0.0279	1361	YIR005W	IST3
0.2342	0.0332	2769	YGL088W	YGL088W
0.2341	0.0288	1694	YKR074W	AIM29
0.2335	0.0310	4571	YMR269W	TMA23
0.2333	0.0404	2081	YDL202W	MRPL11
0.2327	0.0351	5308	YOR096W	RPS7A
0.2323	0.0335	588	YCR031C	RPS14A
0.2322	0.0336	5170	YOL121C	RPS19A
0.2313	0.0335	1162	YHR194W	MDM31
0.2292	0.0310	2598	YDR471W	RPL27B
0.2291	0.0296	3107	YGR162W	TIF4631
0.2288	0.0353	3750	YLR061W	RPL22A
0.2263	0.0238	3737	YLR048W	RPS0B
0.2257	0.0346	616	YCR063W	BUD31
0.2255	0.0328	2474	YDR347W	MRP1
0.2250	0.0297	6100	YFR032C-A	RPL29
0.2245	0.0368	2816	YGL135W	RPL1B
0.2232	0.0307	5055	YOL006C	TOP1
0.2228	0.0333	4702	YNL069C	RPL16B
0.2226	0.0353	3630	YLL006W	MMM1
0.2218	0.0289	2287	YDR161W	ACL4
0.2216	0.0326	5934	YPR047W	MSF1
0.2214	0.0351	5611	YPL005W	AEP3
0.2202	0.0317	2577	YDR450W	RPS18A
0.2195	0.0275	1087	YHR120W	MSH1
0.2175	0.0291	3063	YGR118W	RPS23A
0.2168	0.0428	1220	YIL033C	BCY1
0.2159	0.0297	860	YER131W	RPS26B
0.2150	0.0266	167	YBL079W	NUP170
0.2149	0.0447	766	YER035W	EDC2
0.2147	0.0289	4532	YMR230W	RPS10B
0.2136	0.0298	18	YAL020C	ATS1
0.2136	0.0342	6018	YPR132W	RPS23B
0.2133	0.0306	3758	YLR069C	MEF1
0.2132	0.0266	4729	YNL096C	RPS7B
0.2128	0.0325	3160	YGR215W	RSM27
0.2124	0.0311	5082	YOL033W	MSE1
0.2117	0.0306	5222	YOR008C	SLG1
0.2112	0.0279	2282	YDR156W	RPA14
0.2106	0.0324	6002	YPR116W	RRG8
0.2101	0.0315	1171	YHR203C	RPS4B
0.2099	0.0344	4858	YNL225C	CNM67
0.2096	0.0302	3607	YJR145C	RPS4A
0.2084	0.0269	4186	YML026C	RPS18B
0.2077	0.0383	586	YCR028C	FEN2
0.2076	0.0323	2545	YDR418W	RPL12B
0.2075	0.0292	516	YCL029C	BIK1
0.2074	0.0358	327	YBR133C	HSL7
0.2071	0.0294	445	YBR251W	MRPS5
0.2061	0.0331	544	YCL058C	FYV5
0.2059	0.0407	3104	YGR159C	NSR1
0.2052	0.0304	3026	YGR081C	SLX9
0.2051	0.0357	2192	YDR065W	RRG1
0.2046	0.0377	1205	YIL018W	RPL2B
0.2041	0.0375	4904	YNL271C	BNI1
0.2041	0.0343	3655	YLL033W	IRC19
0.2026	0.0353	3047	YGR102C	GTF1
0.2018	0.0305	2152	YDR025W	RPS11A
0.2013	0.0282	1048	YHR081W	LRP1
0.2009	0.0415	3536	YJR074W	MOG1
0.2009	0.0314	1234	YIL047C	SYG1
0.2001	0.0314	2266	YDR140W	MTQ2
0.1995	0.0253	5944	YPR057W	BRR1
0.1983	0.0353	5413	YOR201C	MRM1
0.1979	0.0297	748	YER017C	AFG3
0.1979	0.0292	4724	YNL091W	NST1
0.1971	0.0419	3882	YLR193C	UPS1
0.1965	0.0329	5539	YOR327C	SNC2
0.1958	0.0315	115	YBL027W	RPL19B
0.1954	0.0270	2210	YDR083W	RRP8
0.1946	0.0357	604	YCR047C	BUD23
0.1946	0.0326	3165	YGR220C	MRPL9
0.1931	0.0398	5423	YOR211C	MGM1
0.1923	0.0304	5446	YOR234C	RPL33B
0.1922	0.0327	3747	YLR058C	SHM2
0.1921	0.0401	4053	YLR362W	STE11
0.1912	0.0289	5731	YPL125W	KAP120
0.1912	0.0328	4384	YMR089C	YTA12
0.1912	0.0254	4596	YMR293C	HER2
0.1911	0.0317	3575	YJR113C	RSM7
0.1907	0.0275	2015	YDL136W	RPL35B
0.1904	0.0357	4309	YMR014W	BUD22
0.1898	0.0314	1401	YKL003C	MRP17
0.1897	0.0362	4392	YMR097C	MTG1
0.1896	0.0341	818	YER087W	AIM10
0.1893	0.0288	2241	YDR114C	YDR114C
0.1893	0.0315	4079	YLR388W	RPS29A
0.1882	0.0225	5506	YOR295W	UAF30
0.1876	0.0263	5707	YPL101W	ELP4
0.1869	0.0341	3953	YLR264W	RPS28B
0.1866	0.0276	1407	YKL009W	MRT4
0.1854	0.0349	2242	YDR115W	MRX14
0.1848	0.0381	705	YEL050C	RML2
0.1847	0.0230	1382	YIR026C	YVH1
0.1844	0.0357	4049	YLR358C	YLR358C
0.1837	0.0261	4976	YNR004W	SWM2
0.1837	0.0293	3874	YLR185W	RPL37A
0.1836	0.0279	1472	YKL074C	MUD2
0.1823	0.0292	4184	YML024W	RPS17A
0.1822	0.0277	1508	YKL110C	KTI12
0.1822	0.0293	2299	YDR173C	ARG82
0.1821	0.0302	244	YBR048W	RPS11B
0.1813	0.0223	4752	YNL119W	NCS2
0.1811	0.0329	4917	YNL284C	MRPL10
0.1798	0.0258	5215	YOR001W	RRP6
0.1795	0.0264	1719	YKR099W	BAS1
0.1788	0.0334	462	YBR268W	MRPL37
0.1779	0.0365	846	YER117W	RPL23B
0.1776	0.0290	4075	YLR384C	IKI3
0.1772	0.0367	3289	YJL046W	AIM22
0.1758	0.0346	356	YBR162C	TOS1
0.1757	0.0278	5623	YPL017C	IRC15
0.1754	0.0318	2300	YDR174W	HMO1
0.1744	0.0336	2301	YDR175C	RSM24
0.1743	0.0349	1993	YDL115C	IWR1
0.1740	0.0346	3780	YLR091W	GEP5
0.1734	0.0256	5353	YOR141C	ARP8
0.1732	0.0201	1677	YKR057W	RPS21A
0.1728	0.0302	546	YCL061C	MRC1
0.1726	0.0334	2322	YDR195W	REF2
0.1726	0.0329	5114	YOL064C	MET22
0.1716	0.0362	2395	YDR268W	MSW1
0.1714	0.0242	1078	YHR111W	UBA4
0.1714	0.0368	4089	YLR399C	BDF1
0.1712	0.0291	375	YBR181C	RPS6B
0.1707	0.0344	1532	YKL134C	OCT1
0.1706	0.0304	5820	YPL214C	THI6
0.1680	0.0322	159	YBL071C	YBL071C
0.1673	0.0289	4264	YML103C	NUP188
0.1667	0.0336	3229	YGR285C	ZUO1
0.1654	0.0334	3046	YGR101W	PCP1
0.1644	0.0319	5667	YPL061W	ALD6
0.1643	0.0266	3323	YJL080C	SCP160
0.1627	0.0283	1033	YHR066W	SSF1
0.1624	0.0347	5433	YOR221C	MCT1
0.1613	0.0274	4693	YNL059C	ARP5
0.1611	0.0352	4885	YNL252C	MRPL17
0.1596	0.0269	668	YEL013W	VAC8
0.1591	0.0323	2077	YDL198C	GGC1
0.1589	0.0300	4129	YLR439W	MRPL4
0.1584	0.0398	5278	YOR065W	CYT1
0.1575	0.0282	5220	YOR006C	TSR3
0.1575	0.0247	4618	YMR312W	ELP6
0.1572	0.0259	4881	YNL248C	RPA49
0.1568	0.0332	1922	YDL044C	MTF2
0.1552	0.0341	2745	YGL064C	MRH4
0.1540	0.0313	2642	YDR516C	EMI2
0.1539	0.0352	3763	YLR074C	BUD20
0.1537	0.0321	1536	YKL138C	MRPL31
0.1527	0.0255	5487	YOR276W	CAF20
0.1522	0.0286	5763	YPL157W	TGS1
0.1513	0.0345	4359	YMR066W	SOV1
0.1511	0.0406	3933	YLR244C	MAP1
0.1511	0.0307	5408	YOR196C	LIP5
0.1511	0.0287	45	YAL047C	SPC72
0.1507	0.0295	2808	YGL127C	SOH1
0.1500	0.0307	4906	YNL273W	TOF1
0.1493	0.0376	1026	YHR059W	FYV4
0.1489	0.0270	1454	YKL056C	TMA19
0.1481	0.0304	4639	YNL005C	MRP7
0.1480	0.0345	5149	YOL100W	PKH2
0.1479	0.0288	4860	YNL227C	JJJ1
0.1475	0.0316	4252	YML094W	GIM5
0.1475	0.0262	1008	YHR041C	SRB2
