Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.0820	0.0900	2705	YGL023C	PIB2
0.0812	0.0275	4922	YNL289W	PCL1
0.0812	0.0425	4088	YLR398C	SKI2
0.0810	0.0349	5462	YOR251C	TUM1
0.0808	0.0266	278	YBR083W	TEC1
0.0806	0.0313	5374	YOR162C	YRR1
0.0806	0.0413	3808	YLR119W	SRN2
0.0804	0.0317	3487	YJR021C	REC107
0.0801	0.0283	5035	YNR063W	PUL4
0.0801	0.0356	3763	YLR074C	BUD20
0.0798	0.0235	5792	YPL186C	UIP4
0.0795	0.0293	3824	YLR135W	SLX4
0.0795	0.0478	800	YER069W	ARG5,6
0.0794	0.0293	2017	YDL138W	RGT2
0.0793	0.0324	2546	YDR419W	RAD30
0.0793	0.0343	5862	YPL256C	CLN2
0.0790	0.0241	3170	YGR225W	AMA1
0.0789	0.0386	2844	YGL163C	RAD54
0.0789	0.0377	2606	YDR480W	DIG2
0.0789	0.0256	1331	YIL146C	ATG32
0.0788	0.0246	4846	YNL213C	RRG9
0.0788	0.0412	2284	YDR158W	HOM2
0.0787	0.0555	1001	YHR034C	PIH1
0.0783	0.0320	4429	YMR133W	REC114
0.0781	0.0311	1217	YIL030C	SSM4
0.0780	0.0285	2777	YGL096W	TOS8
0.0779	0.0289	2249	YDR122W	KIN1
0.0774	0.0271	1318	YIL133C	RPL16A
0.0771	0.0237	590	YCR033W	SNT1
0.0771	0.0283	2333	YDR206W	EBS1
0.0770	0.0324	2136	YDR009W	GAL3
0.0770	0.0355	3741	YLR052W	IES3
0.0766	0.0350	941	YHL024W	RIM4
0.0765	0.0272	871	YER143W	DDI1
0.0765	0.0327	2184	YDR057W	YOS9
0.0764	0.0270	1374	YIR018W	YAP5
0.0756	0.0295	1415	YKL017C	HCS1
0.0755	0.0371	1203	YIL016W	SNL1
0.0755	0.0365	5799	YPL193W	RSA1
0.0753	0.0306	3515	YJR053W	BFA1
0.0751	0.0408	3227	YGR283C	YGR283C
0.0749	0.0293	2641	YDR515W	SLF1
0.0746	0.0283	4170	YML011C	RAD33
0.0744	0.0278	2925	YGL243W	TAD1
0.0740	0.0305	1170	YHR202W	YHR202W
0.0729	0.0356	474	YBR280C	SAF1
0.0729	0.0313	1680	YKR060W	UTP30
0.0722	0.0263	4121	YLR431C	ATG23
0.0721	0.0304	2608	YDR482C	CWC21
0.0719	0.0299	261	YBR065C	ECM2
0.0713	0.0308	4856	YNL223W	ATG4
0.0712	0.0375	4535	YMR233W	TRI1
0.0705	0.0338	2832	YGL151W	NUT1
0.0700	0.0307	382	YBR188C	NTC20
0.0699	0.0283	4253	YML095C	RAD10
0.0699	0.0318	2894	YGL213C	SKI8
0.0697	0.0307	5739	YPL133C	RDS2
0.0695	0.0287	2034	YDL155W	CLB3
0.0695	0.0502	3335	YJL092W	SRS2
0.0695	0.0352	3219	YGR275W	RTT102
0.0694	0.0314	4325	YMR030W	RSF1
0.0693	0.0331	1659	YKR039W	GAP1
0.0692	0.0297	2889	YGL208W	SIP2
0.0692	0.0285	2964	YGR019W	UGA1
0.0691	0.0335	1763	YFL031W	HAC1
0.0690	0.0358	4643	YNL009W	IDP3
0.0688	0.0275	3561	YJR099W	YUH1
0.0684	0.0297	1225	YIL038C	NOT3
0.0683	0.0312	3899	YLR210W	CLB4
0.0682	0.0206	4503	YMR201C	RAD14
0.0680	0.0283	1958	YDL080C	THI3
0.0680	0.0376	5403	YOR191W	ULS1
0.0679	0.0273	49	YAL053W	FLC2
0.0678	0.0343	2350	YDR223W	CRF1
0.0673	0.0308	3908	YLR219W	MSC3
0.0673	0.0327	5652	YPL046C	ELC1
0.0670	0.0215	2186	YDR059C	UBC5
0.0669	0.0325	3668	YLL046C	RNP1
0.0668	0.0303	819	YER088C	DOT6
0.0666	0.0403	2796	YGL115W	SNF4
0.0661	0.0395	4664	YNL030W	HHF2
0.0660	0.0340	4026	YLR335W	NUP2
0.0657	0.0422	3185	YGR240C	PFK1
0.0647	0.0371	2767	YGL086W	MAD1
0.0645	0.0325	2766	YGL085W	LCL3
0.0643	0.0266	4314	YMR019W	STB4
0.0642	0.0370	1308	YIL123W	SIM1
0.0641	0.0328	3514	YJR052W	RAD7
0.0638	0.0341	3301	YJL058C	BIT61
0.0635	0.0392	3147	YGR202C	PCT1
0.0634	0.0284	3996	YLR306W	UBC12
0.0630	0.0261	4010	YLR319C	BUD6
0.0630	0.0288	5139	YOL090W	MSH2
0.0628	0.0361	3670	YLL048C	YBT1
0.0627	0.0355	2273	YDR147W	EKI1
0.0627	0.0279	1316	YIL131C	FKH1
0.0625	0.0262	2079	YDL200C	MGT1
0.0622	0.0336	5303	YOR091W	TMA46
0.0620	0.0270	5580	YOR368W	RAD17
0.0620	0.0761	6133	YOR298C-A	MBF1
0.0619	0.0261	4187	YML027W	YOX1
0.0612	0.0259	4093	YLR403W	SFP1
0.0611	0.0306	3960	YLR271W	CMG1
0.0610	0.0344	1358	YIR002C	MPH1
0.0610	0.0286	3480	YJR014W	TMA22
0.0609	0.0243	5062	YOL013C	HRD1
0.0608	0.0347	4709	YNL076W	MKS1
0.0607	0.0290	1849	YER044C-A	MEI4
0.0596	0.0377	2149	YDR022C	ATG31
0.0595	0.0341	4616	YMR310C	YMR310C
0.0594	0.0311	4586	YMR284W	YKU70
0.0592	0.0367	1630	YKR010C	TOF2
0.0590	0.0281	2028	YDL149W	ATG9
0.0585	0.0309	911	YER184C	TOG1
0.0584	0.0351	516	YCL029C	BIK1
0.0583	0.0481	1773	YFL021W	GAT1
0.0581	0.0245	5551	YOR339C	UBC11
0.0580	0.0282	3025	YGR080W	TWF1
0.0580	0.0313	4863	YNL230C	ELA1
0.0579	0.0457	2000	YDL122W	UBP1
0.0578	0.0302	2308	YDR181C	SAS4
0.0576	0.0234	5246	YOR033C	EXO1
0.0573	0.0290	4473	YMR173W	DDR48
0.0568	0.0279	2627	YDR501W	PLM2
0.0565	0.0263	2392	YDR265W	PEX10
0.0564	0.0253	3863	YLR174W	IDP2
0.0563	0.0311	78	YAR042W	SWH1
0.0562	0.0211	3192	YGR247W	CPD1
0.0561	0.0305	4565	YMR263W	SAP30
0.0553	0.0321	4872	YNL239W	LAP3
0.0551	0.0309	1046	YHR079C	IRE1
0.0547	0.0279	4525	YMR223W	UBP8
0.0545	0.0293	1525	YKL127W	PGM1
0.0544	0.0313	4763	YNL130C	CPT1
0.0542	0.0275	68	YAR018C	KIN3
0.0542	0.0328	1302	YIL117C	PRM5
0.0541	0.0353	1684	YKR064W	OAF3
0.0539	0.0377	230	YBR034C	HMT1
0.0538	0.0325	2340	YDR213W	UPC2
0.0535	0.0290	4230	YML072C	TCB3
0.0534	0.0287	2814	YGL133W	ITC1
0.0534	0.0293	3280	YJL036W	SNX4
0.0534	0.0249	5425	YOR213C	SAS5
0.0533	0.0345	4906	YNL273W	TOF1
0.0533	0.0252	2390	YDR263C	DIN7
0.0531	0.0289	2935	YGL253W	HXK2
0.0530	0.0323	2300	YDR174W	HMO1
0.0528	0.0384	4119	YLR429W	CRN1
0.0526	0.0373	4834	YNL201C	PSY2
0.0524	0.0316	6075	YPR189W	SKI3
0.0522	0.0366	6027	YPR141C	KAR3
0.0521	0.0284	1844	YFR053C	HXK1
0.0520	0.0335	3274	YJL030W	MAD2
0.0517	0.0213	799	YER068W	MOT2
0.0517	0.0297	5955	YPR068C	HOS1
0.0516	0.0275	5159	YOL110W	SHR5
0.0514	0.0321	4286	YML124C	TUB3
0.0514	0.0309	2288	YDR162C	NBP2
0.0514	0.0316	491	YBR297W	MAL33
0.0513	0.0306	5944	YPR057W	BRR1
0.0512	0.0292	253	YBR057C	MUM2
0.0512	0.0428	2896	YGL215W	CLG1
0.0508	0.0299	3692	YLR003C	CMS1
0.0506	0.0217	4272	YML111W	BUL2
0.0506	0.0446	5117	YOL067C	RTG1
0.0506	0.0301	4761	YNL128W	TEP1
0.0503	0.0292	5480	YOR269W	PAC1
0.0502	0.0472	4642	YNL008C	ASI3
0.0500	0.0252	1452	YKL054C	DEF1
0.0499	0.0399	4931	YNL298W	CLA4
0.0499	0.0306	2513	YDR386W	MUS81
0.0496	0.0321	1991	YDL113C	ATG20
0.0494	0.0369	48	YAL051W	OAF1
0.0493	0.0267	2258	YDR131C	YDR131C
0.0492	0.0313	4587	YMR285C	NGL2
0.0492	0.0415	5690	YPL084W	BRO1
0.0492	0.0280	4560	YMR258C	ROY1
0.0490	0.0418	1204	YIL017C	VID28
0.0487	0.0223	308	YBR114W	RAD16
0.0484	0.0434	5819	YPL213W	LEA1
0.0484	0.0375	6196	YDR079C-A	TFB5
0.0480	0.0284	5660	YPL054W	LEE1
0.0480	0.0238	4944	YNL311C	SKP2
0.0479	0.0295	2418	YDR291W	HRQ1
0.0478	0.0337	94	YBL006C	LDB7
0.0478	0.0307	5289	YOR076C	SKI7
0.0476	0.0306	5745	YPL139C	UME1
0.0475	0.0197	5918	YPR031W	NTO1
0.0474	0.0312	2897	YGL216W	KIP3
0.0473	0.0341	5624	YPL018W	CTF19
0.0473	0.0262	4472	YMR172W	HOT1
0.0472	0.0269	5420	YOR208W	PTP2
0.0469	0.0320	5165	YOL116W	MSN1
0.0469	0.0360	2611	YDR485C	VPS72
0.0466	0.0219	2305	YDR179C	CSN9
0.0465	0.0485	3074	YGR129W	SYF2
0.0465	0.0300	4820	YNL187W	SWT21
0.0465	0.0235	5628	YPL022W	RAD1
0.0462	0.0536	1984	YDL106C	PHO2
0.0460	0.0286	5965	YPR078C	YPR078C
0.0460	0.0300	1743	YFL052W	ZNF1
0.0459	0.0250	1484	YKL086W	SRX1
0.0457	0.0299	5454	YOR243C	PUS7
0.0457	0.0230	5825	YPL219W	PCL8
0.0456	0.0243	4401	YMR106C	YKU80
0.0454	0.0269	1432	YKL034W	TUL1
0.0454	0.0270	2768	YGL087C	MMS2
0.0454	0.0370	2585	YDR458C	HEH2
0.0454	0.0360	3572	YJR110W	YMR1
0.0453	0.0325	5291	YOR078W	BUD21
0.0452	0.0381	1617	YKL222C	YKL222C
0.0451	0.0303	2039	YDL160C	DHH1
0.0451	0.0285	5793	YPL187W	MF(ALPHA)1
0.0450	0.0395	1389	YIR033W	MGA2
0.0448	0.0316	6115	YDR363W-A	SEM1
0.0447	0.0241	2948	YGR003W	CUL3
0.0447	0.0367	2997	YGR052W	FMP48
0.0445	0.0335	5397	YOR185C	GSP2
0.0444	0.0284	795	YER064C	VHR2
0.0443	0.0298	1711	YKR091W	SRL3
0.0442	0.0270	1929	YDL051W	LHP1
0.0442	0.0314	3822	YLR133W	CKI1
0.0441	0.0269	2719	YGL037C	PNC1
0.0438	0.0290	5092	YOL043C	NTG2
0.0438	0.0289	2161	YDR034C	LYS14
0.0437	0.0284	5525	YOR313C	SPS4
0.0437	0.0355	5992	YPR106W	ISR1
0.0437	0.0244	3809	YLR120C	YPS1
0.0434	0.0467	5962	YPR075C	OPY2
0.0434	0.0298	5103	YOL053W	AIM39
0.0432	0.0309	2050	YDL171C	GLT1
0.0432	0.0288	2715	YGL033W	HOP2
0.0431	0.0314	5162	YOL113W	SKM1
0.0427	0.0365	104	YBL016W	FUS3
0.0425	0.0281	3555	YJR094C	IME1
0.0423	0.0257	4192	YML032C	RAD52
0.0423	0.0300	4141	YLR451W	LEU3
0.0421	0.0230	5773	YPL167C	REV3
0.0421	0.0309	5957	YPR070W	MED1
0.0420	0.0443	5627	YPL021W	ECM23
0.0420	0.0286	1292	YIL107C	PFK26
0.0419	0.0331	484	YBR290W	BSD2
0.0418	0.0303	4491	YMR190C	SGS1
0.0418	0.0468	1365	YIR009W	MSL1
0.0417	0.0297	1677	YKR057W	RPS21A
0.0415	0.0289	970	YHR003C	TCD1
0.0414	0.0240	4606	YMR302C	YME2
0.0414	0.0303	4661	YNL027W	CRZ1
0.0412	0.0278	2153	YDR026C	NSI1
0.0412	0.0306	1715	YKR095W	MLP1
0.0411	0.0370	2892	YGL211W	NCS6
0.0410	0.0283	1460	YKL062W	MSN4
0.0410	0.0334	4358	YMR065W	KAR5
0.0409	0.0305	4433	YMR136W	GAT2
0.0407	0.0302	1381	YIR025W	MND2
0.0406	0.0550	1821	YFR030W	MET10
0.0405	0.0428	2855	YGL174W	BUD13
0.0400	0.0285	4454	YMR156C	TPP1
0.0399	0.0378	1811	YFR019W	FAB1
0.0398	0.0240	154	YBL066C	SEF1
0.0394	0.0343	3832	YLR143W	DPH6
0.0392	0.0323	1188	YIL001W	YIL001W
0.0391	0.0243	4016	YLR325C	RPL38
0.0387	0.0427	5598	YOR386W	PHR1
0.0386	0.0339	4875	YNL242W	ATG2
0.0385	0.0360	4976	YNR004W	SWM2
0.0381	0.0288	2433	YDR306C	PFU1
0.0381	0.0361	1122	YHR154W	RTT107
0.0380	0.0302	6039	YPR153W	MAY24
0.0379	0.0334	3721	YLR032W	RAD5
0.0379	0.0326	3015	YGR070W	ROM1
0.0379	0.0331	1266	YIL079C	AIR1
0.0377	0.0385	359	YBR165W	UBS1
0.0376	0.0283	5219	YOR005C	DNL4
0.0372	0.0310	2092	YDL213C	NOP6
0.0372	0.0230	3215	YGR270W	YTA7
0.0371	0.0293	2759	YGL078C	DBP3
0.0370	0.0286	344	YBR150C	TBS1
0.0369	0.0246	3784	YLR095C	IOC2
0.0369	0.0418	472	YBR278W	DPB3
0.0365	0.0287	5847	YPL241C	CIN2
0.0365	0.0415	2203	YDR076W	RAD55
0.0365	0.0289	2439	YDR312W	SSF2
0.0365	0.0328	5160	YOL111C	MDY2
0.0364	0.0287	2400	YDR273W	DON1
0.0363	0.0387	290	YBR095C	RXT2
0.0361	0.0338	4078	YLR387C	REH1
0.0359	0.0272	3942	YLR253W	MCP2
0.0359	0.0267	2903	YGL222C	EDC1
0.0358	0.0303	2643	YDR517W	GRH1
0.0357	0.0639	5318	YOR106W	VAM3
0.0357	0.0295	4481	YMR180C	CTL1
0.0357	0.0314	5874	YPL268W	PLC1
0.0356	0.0451	254	YBR058C	UBP14
0.0355	0.0409	4321	YMR026C	PEX12
0.0354	0.0290	5570	YOR358W	HAP5
0.0352	0.0310	229	YBR033W	EDS1
0.0352	0.0277	3817	YLR128W	DCN1
0.0351	0.0321	946	YHL029C	OCA5
0.0345	0.0272	2614	YDR488C	PAC11
0.0345	0.0332	2226	YDR099W	BMH2
0.0345	0.0280	2743	YGL062W	PYC1
0.0344	0.0387	5391	YOR179C	SYC1
0.0344	0.0407	3107	YGR162W	TIF4631
0.0344	0.0355	4557	YMR255W	GFD1
0.0342	0.0537	5644	YPL038W	MET31
0.0340	0.0282	5319	YOR107W	RGS2
0.0340	0.0402	2131	YDR004W	RAD57
0.0339	0.0304	572	YCR016W	YCR016W
0.0337	0.0253	3522	YJR060W	CBF1
0.0337	0.0441	519	YCL032W	STE50
0.0336	0.0437	4766	YNL133C	FYV6
0.0335	0.0334	4978	YNR006W	VPS27
0.0333	0.0270	206	YBR010W	HHT1
0.0330	0.0272	4360	YMR067C	UBX4
0.0329	0.0451	1746	YFL049W	SWP82
0.0328	0.0277	4132	YLR442C	SIR3
0.0328	0.0374	1608	YKL213C	DOA1
0.0328	0.0303	4055	YLR364W	GRX8
0.0327	0.0296	1334	YIL149C	MLP2
0.0327	0.0307	1937	YDL059C	RAD59
0.0323	0.0310	4240	YML082W	YML082W
0.0321	0.0214	3497	YJR035W	RAD26
0.0319	0.0277	19	YAL021C	CCR4
0.0318	0.0334	836	YER105C	NUP157
0.0317	0.0275	3034	YGR089W	NNF2
0.0316	0.0297	4054	YLR363C	NMD4
0.0315	0.0272	2536	YDR409W	SIZ1
0.0314	0.0273	5506	YOR295W	UAF30
0.0312	0.0243	2442	YDR315C	IPK1
0.0310	0.0306	3707	YLR018C	POM34
0.0309	0.0252	3012	YGR067C	YGR067C
0.0309	0.0277	716	YEL061C	CIN8
0.0307	0.0344	37	YAL039C	CYC3
0.0307	0.0314	3220	YGR276C	RNH70
0.0305	0.0309	1382	YIR026C	YVH1
0.0304	0.0274	427	YBR233W	PBP2
0.0304	0.0310	3151	YGR206W	MVB12
0.0301	0.0260	2490	YDR363W	ESC2
0.0300	0.0279	2919	YGL237C	HAP2
0.0298	0.0219	4434	YMR137C	PSO2
0.0296	0.0282	4199	YML041C	VPS71
0.0296	0.0410	717	YEL062W	NPR2
0.0294	0.0287	3512	YJR050W	ISY1
0.0293	0.0335	1967	YDL089W	NUR1
0.0293	0.0333	5004	YNR032W	PPG1
0.0293	0.0264	806	YER075C	PTP3
0.0292	0.0370	3662	YLL040C	VPS13
0.0292	0.0331	3260	YJL013C	MAD3
0.0292	0.0271	1712	YKR092C	SRP40
0.0292	0.0353	2901	YGL220W	BOL2
0.0288	0.0315	4638	YNL004W	HRB1
0.0287	0.0236	889	YER162C	RAD4
0.0287	0.0320	4125	YLR435W	TSR2
0.0287	0.0309	4442	YMR145C	NDE1
0.0287	0.0326	4290	YML128C	MSC1
0.0284	0.0326	3525	YJR063W	RPA12
0.0283	0.0296	5077	YOL028C	YAP7
0.0283	0.0385	2707	YGL025C	PGD1
0.0282	0.0271	77	YAR035W	YAT1
0.0282	0.0300	2257	YDR130C	FIN1
0.0282	0.0252	297	YBR103W	SIF2
0.0282	0.0464	4609	YMR304W	UBP15
0.0281	0.0281	1423	YKL025C	PAN3
0.0281	0.0274	5715	YPL109C	MCO76
0.0281	0.0273	891	YER164W	CHD1
0.0281	0.0394	2928	YGL246C	RAI1
0.0280	0.0395	1499	YKL101W	HSL1
0.0279	0.0404	3505	YJR043C	POL32
0.0277	0.0289	1168	YHR200W	RPN10
0.0275	0.0256	6201	YGR271C-A	EFG1
0.0275	0.0288	5566	YOR354C	MSC6
0.0274	0.0284	1568	YKL171W	NNK1
0.0272	0.0350	2210	YDR083W	RRP8
0.0269	0.0265	903	YER176W	ECM32
0.0267	0.0275	3341	YJL098W	SAP185
0.0267	0.0280	301	YBR107C	IML3
0.0266	0.0326	3949	YLR260W	LCB5
0.0266	0.0396	6060	YPR174C	CSA1
0.0266	0.0265	5592	YOR380W	RDR1
0.0266	0.0260	721	YEL066W	HPA3
0.0266	0.0375	1407	YKL009W	MRT4
0.0265	0.0367	2747	YGL066W	SGF73
0.0265	0.0318	3068	YGR123C	PPT1
0.0264	0.0277	5527	YOR315W	SFG1
0.0264	0.0272	6050	YPR164W	MMS1
0.0263	0.0299	167	YBL079W	NUP170
0.0263	0.0440	112	YBL024W	NCL1
0.0262	0.0362	4080	YLR389C	STE23
0.0261	0.0335	411	YBR217W	ATG12
0.0261	0.0315	4399	YMR104C	YPK2
0.0259	0.0281	2237	YDR110W	FOB1
0.0259	0.0404	5621	YPL015C	HST2
0.0256	0.0333	2160	YDR033W	MRH1
0.0256	0.0349	5104	YOL054W	PSH1
0.0256	0.0286	4317	YMR022W	UBC7
0.0255	0.0334	5350	YOR138C	RUP1
0.0254	0.0336	766	YER035W	EDC2
0.0253	0.0263	4208	YML051W	GAL80
0.0251	0.0282	643	YCR095C	OCA4
0.0250	0.0335	839	YER110C	KAP123
0.0248	0.0289	4563	YMR261C	TPS3
0.0248	0.0404	5902	YPR015C	YPR015C
0.0247	0.0417	4657	YNL023C	FAP1
0.0242	0.0457	4316	YMR021C	MAC1
0.0242	0.0201	5800	YPL194W	DDC1
0.0238	0.0289	761	YER030W	CHZ1
0.0237	0.0323	1641	YKR021W	ALY1
0.0236	0.0211	5558	YOR346W	REV1
0.0236	0.0275	5245	YOR032C	HMS1
0.0235	0.0261	5798	YPL192C	PRM3
0.0235	0.0267	3664	YLL042C	ATG10
0.0234	0.0223	4492	YMR191W	SPG5
0.0232	0.0262	293	YBR098W	MMS4
0.0229	0.0339	2808	YGL127C	SOH1
0.0229	0.0282	4342	YMR048W	CSM3
0.0228	0.0430	3744	YLR055C	SPT8
0.0223	0.0238	1892	YDL013W	SLX5
0.0220	0.0359	3118	YGR173W	RBG2
0.0220	0.0249	632	YCR084C	TUP1
0.0220	0.0480	4115	YLR425W	TUS1
0.0219	0.0212	3978	YLR288C	MEC3
0.0218	0.0345	859	YER130C	COM2
0.0218	0.0312	3999	YLR309C	IMH1
0.0217	0.0293	11	YAL013W	DEP1
0.0217	0.0465	5895	YPR008W	HAA1
0.0217	0.0246	2822	YGL141W	HUL5
0.0216	0.0263	1914	YDL035C	GPR1
0.0216	0.0291	4335	YMR039C	SUB1
0.0213	0.0256	2985	YGR040W	KSS1
0.0210	0.0428	1373	YIR017C	MET28
0.0209	0.0365	2058	YDL179W	PCL9
0.0208	0.0285	2570	YDR443C	SSN2
0.0205	0.0270	5755	YPL149W	ATG5
0.0205	0.0294	5215	YOR001W	RRP6
0.0204	0.0259	5572	YOR360C	PDE2
0.0204	0.0272	4521	YMR219W	ESC1
0.0202	0.0439	4158	YML001W	YPT7
0.0201	0.0355	870	YER142C	MAG1
0.0199	0.0258	2272	YDR146C	SWI5
0.0198	0.0259	3910	YLR221C	RSA3
0.0198	0.0390	2725	YGL043W	DST1
0.0197	0.0302	3923	YLR234W	TOP3
0.0196	0.0291	512	YCL024W	KCC4
0.0195	0.0285	4400	YMR105C	PGM2
0.0194	0.0308	3438	YJL197W	UBP12
0.0192	0.0262	262	YBR066C	NRG2
0.0189	0.0242	3843	YLR154C	RNH203
0.0188	0.0258	6079	YPR193C	HPA2
0.0188	0.0272	3177	YGR232W	NAS6
0.0185	0.0354	2791	YGL110C	CUE3
0.0185	0.0247	1557	YKL160W	ELF1
