"","transcript","ybr_rho","ybr_rho_percentile","pgi1_rho","pgi1_rho_percentile","ybr7_rho","ybr7_rho_percentile"
"80","YDR190C",0.2797,0.633673298779468,0.5052,0.90210667112523,0.3931,0.583012874101321
"81","YDR212W",0.3921,0.911804046146129,0.7013,0.9923089784317,0.501,0.721952850693864
"82","YDR335W",0.29,0.664437385052667,0.4844,0.883798695870256,0.4019,0.594633004514295
"83","YDR457W",0.2603,0.580337736164521,0.5136,0.90912890820933,0.4696,0.680237418491891
"84","YDR508C",0.2378,0.519143955860224,0.4434,0.840745694699883,0.2285,0.387978598896506
"85","YEL031W",0.4148,0.946748035445578,0.674,0.986707908376526,0.2991,0.468567129242602
"86","YEL022W",0.2295,0.497742852365825,0.5723,0.950175555927102,0.5042,0.726634342083264
"87","YEL013W",0.4219,0.953603076408627,0.659,0.984283564621301,0.4738,0.685002507941816
"88","YER023W",0.4016,0.927186089282729,0.6928,0.9909714094633,0.4704,0.681491389399766
"89","YER086W",0.4359,0.966644373850527,0.6635,0.984868751044976,0.3872,0.576074235077746
"90","YER145C",0.1577,0.349021902691858,0.3718,0.742768767764588,0.4373,0.637435211503093
"91","YFL037W",0.3878,0.90394582845678,0.6995,0.991890988129075,0.2043,0.363317171041632
"92","YGL234W",0.378,0.886808226049156,0.5896,0.958953352282227,0.3812,0.568466811569972
"93","YGL206C",0.2423,0.531265674636348,0.6033,0.965641197124227,0.3654,0.549239257649223
"94","YGL201C",0.2861,0.652984450760742,0.512,0.90779133924093,0.5111,0.736916903527838
"95","YGL195W",0.312,0.723374017722789,0.7146,0.9949841163685,0.3808,0.567881625146297
"96","YGL148W",0.3762,0.882711921083431,0.6324,0.976425346931951,0.558,0.802457782979435
"97","YGL055W",0.3671,0.863818759404782,0.3812,0.756646045811737,0.1311,0.284902190269186
"98","YGL026C",0.3991,0.923842166861729,0.6666,0.985871927771276,0.5091,0.733489383046313
"99","YGR175C",0.4622,0.983531182076576,0.5874,0.958117371676977,0.4541,0.659839491723792
"100","YGR191W",0.4465,0.973165022571476,0.6515,0.982528005350276,0.4948,0.713007858217689
"101","YGR233C",0.3178,0.741013208493563,0.4957,0.893328874770105,0.4632,0.670790837652566
"102","YHR005C",0.1208,0.290754054505935,0.3489,0.707741180404615,0.39,0.579501755559271
"103","YHR020W",0.3681,0.866159505099482,0.6547,0.983196789834476,0.5233,0.753302123390737
"104","YHR108W",0.4001,0.925430530011704,0.6038,0.966059187426852,0.6045,0.869670623641531
"105","YHR174W",0.2842,0.647132586523993,0.7909,0.9989968232737,0.0888,0.239508443404113
"106","YHR190W",0.4242,0.956027420163852,0.531,0.923006186256479,0.4779,0.690018391573315
"107","YIL142W",0.3696,0.869419829459957,0.6346,0.977177729476676,0.5649,0.813325530847684
