"ORF","SGD","ENTREZID","GENENAME","ENSEMBL"
"YFL068W","S000001826","850476",NA,"YLL067W-A"
"YER096W","S000000898","856832","SHC1","YER096W"
"YLR194C","S000004184","850891","NCW2","YLR194C"
"YMR084W","S000004689","855108",NA,"YMR084W"
"YDR030C","S000002437","851594","RAD28","YDR030C"
"YDR274C","S000002682","851867",NA,NA
"YKR033C","S000001741",NA,NA,NA
"YLR169W","S000004159",NA,NA,NA
"YML133W-A","S000028689",NA,NA,NA
"YMR058W","S000004662","855080","FET3","YMR058W"
"YHR138C","S000001180","856540",NA,"YHR138C"
"YAR020C","S000000073","851275","PAU7","YAR020C"
"YMR040W","S000004643","855056","YET2","YMR040W"
"YCL048W-A","S000087203","3799968",NA,"YCL048W-A"
"YOR396W","S000007526","854577","YRF1-8","YDR545W"
"YOR396W","S000007526","854577","YRF1-8","YLR467W"
"YOR396W","S000007526","854577","YRF1-8","YOR396W"
"YGR161W-A","S000007369","853066",NA,NA
"YIL154C","S000001416","854652","IMP2'","YIL154C"
"YAL020C","S000000018","851213","ATS1","YAL020C"
"YIR017W-A","S000028799",NA,NA,NA
"YGR296C-A","S000028642",NA,NA,NA
"YKL175W","S000001658","853679","ZRT3","YKL175W"
"YLR054C","S000004044","850743","OSW2","YLR054C"
"YER185W","S000000987","856934","PUG1","YER185W"
"YML133W-B","S000028690",NA,NA,NA
"YOR387C","S000005914","854569",NA,"YOR387C"
"YIR017C","S000001456","854834","MET28","YIR017C"
"YPL147W","S000006068","855956","PXA1","YPL147W"
"YHL040C","S000001032","856345","ARN1","YHL040C"
"YCL067C","S000000572","850292","HMLALPHA2","YCL067C"
"YCL067C","S000000572","850292","HMLALPHA2","YCR039C"
"YFL058W","S000001836","850486","THI5","YFL058W"
"YFR026C","S000001922","850583","ULI1","YFR026C"
"YML009W-B","S000004471",NA,NA,NA
"YAL055W","S000000051","851244","PEX22","YAL055W"
"YOR382W","S000005909","854564","FIT2","YOR382W"
"YLR080W","S000004070","850769","EMP46","YLR080W"
"YMR057C","S000004661",NA,NA,NA
"YPL088W","S000006009","856017",NA,"YPL088W"
"YOL119C","S000005479","854030","MCH4","YOL119C"
"YKL224C","S000001707","853656","PAU16","YKL224C"
"YPR204C-A","S000028727",NA,NA,NA
"YHL037C","S000001029","856348",NA,NA
"YEL059W","S000000785","856651","HHY1",NA
"YDL114W","S000002272","851444",NA,"YDL114W"
"YNL117W","S000005061","855606","MLS1","YNL117W"
"YDR473C","S000002881","852084","PRP3","YDR473C"
"YPR192W","S000006396","856322","AQY1","YPR192W"
"YEL030C-A","S000028619",NA,NA,NA
"YOR223W","S000005749","854398","DSC3","YOR223W"
"YHL035C","S000001027","856350","VMR1","YHL035C"
"YPR145C-A","S000113589","3799978",NA,"YPR145C-A"
"YLR438C-A","S000006434","851159","LSM3","YLR438C-A"
"YDR270W","S000002678","851862","CCC2","YDR270W"
"YBL078C","S000000174","852200","ATG8","YBL078C"
"YDL021W","S000002179","851541","GPM2","YDL021W"
"YPL185W","S000006106",NA,NA,NA
"YHR125W","S000001167","856526",NA,NA
"YBR072C-A","S000028532","1466444",NA,"YBR072C-A"
"YGR201C","S000003433","853115",NA,"YGR201C"
"YML047C","S000004510","854959","PRM6","YML047C"
"YPL171C","S000006092","855932","OYE3","YPL171C"
"YLR162W-A","S000028567","1466416","RRT15","YLR162W-A"
"YNR020C","S000005303","855754","ATP23",NA
"YCL019W","S000000524","850340",NA,NA
"YOL164W-A","S000028580","1466473",NA,"YOL164W-A"
"YLR312C","S000004303","851021","ATG39","YLR312C"
"YAL019W-A","S000028729",NA,NA,NA
"YFL011W","S000001883","850536","HXT10","YFL011W"
"YKL065W-A","S000113563","3799975",NA,"YKL065W-A"
"YEL030W","S000000756","856682","ECM10","YEL030W"
"YDR239C","S000002647","851825",NA,"YDR239C"
"YMR009W","S000004611","855021","ADI1","YMR009W"
"YPL181W","S000006102","855920","CTI6","YPL181W"
"YGL126W","S000003094","852751","SCS3","YGL126W"
"YNL115C","S000005059","855608",NA,"YNL115C"
"YPL186C","S000006107","855916","UIP4","YPL186C"
"YBR295W","S000000499","852598","PCA1","YBR295W"
"YER181C","S000000983","856930",NA,NA
"YGR072W","S000003304","852963","UPF3","YGR072W"
"YBR071W","S000000275","852363",NA,"YBR071W"
"YKL088W","S000001571","853774","CAB3","YKL088W"
"YMR114C","S000004720","855141",NA,"YMR114C"
"YOL016C","S000005376","854144","CMK2","YOL016C"
"YPL038W-A","S000028588","1466521",NA,"YPL038W-A"
"YPL272C","S000006193","855856","PBI1","YPL272C"
"YOR338W","S000005865","854516",NA,"YOR338W"
"YGL183C","S000003151","852692","MND1","YGL183C"
"YDL024C","S000002182","851537","DIA3","YDL024C"
"YDL159W-A","S000007599","851395",NA,"YDL159W-A"
"YER091C-A","S000007238",NA,NA,NA
"YDR240C","S000002648","851827","SNU56","YDR240C"
"YLR302C","S000004293","851011",NA,NA
"YPL206C","S000006127","855895","PGC1","YPL206C"
"YNR057C","S000005340","855794","BIO4","YNR057C"
"YPR002W","S000006206","856108","PDH1","YPR002W"
"YBL049W","S000000145","852231","MOH1","YBL049W"
"YER175W-A","S000028625","1466537",NA,"YER175W-A"
"YLL039C","S000003962","850620","UBI4","YLL039C"
"YPL119C-A","S000028859","1466520",NA,"YPL119C-A"
"YDR194W-A","S000028541","1466435",NA,"YDR194W-A"
"YER078W-A","S000028546","1466536",NA,"YER078W-A"
"YJL132W","S000003668","853309",NA,"YJL132W"
"YDL022C-A","S000028537","13393611",NA,"YDL022C-A"
"YMR316C-A","S000004933","855365",NA,"YMR316C-A"
"YDL009C","S000002167","851553",NA,"YDL009C"
"YCR005C","S000000598","850361","CIT2","YCR005C"
"YOR011W-A","S000028581","1466479",NA,"YOR011W-A"
"YDL234C","S000002393","851364","GYP7","YDL234C"
"YMR158C-A","S000007249","855192",NA,"YMR158C-A"
"YKL082C","S000001565","853780","RRP14","YKL082C"
"YOR255W","S000005781","854429","OSW1","YOR255W"
"YGR226C","S000003458",NA,NA,NA
"YDL214C","S000002373","851312","PRR2","YDL214C"
"YMR319C","S000004938","855369","FET4","YMR319C"
"YCR098C","S000000695","850462","GIT1","YCR098C"
"YPL026C","S000005947","856081","SKS1","YPL026C"
"YHL050W-A","S000028644",NA,NA,NA
"YBR230W-A","S000029722","2777172",NA,"YBR230W-A"
"YKR053C","S000001761","853927","YSR3","YKR053C"
"YEL012W","S000000738","856704","UBC8","YEL012W"
"YGR169C-A","S000028521","1466460","LSO2","YGR169C-A"
"YHR136C","S000001178","856538","SPL2","YHR136C"
"YOL165C","S000005525","853999","AAD15","YOL165C"
"YDL222C","S000002381","851304","FMP45","YDL222C"
"YOR186W","S000005712","854358",NA,"YOR186W"
"YOR257W","S000005783","854431","CDC31","YOR257W"
"YLR299C-A","S000028680",NA,NA,NA
"YML009C-A","S000004469",NA,NA,NA
"YGL170C","S000003138","852705","SPO74","YGL170C"
"YIR042C","S000001481","854860",NA,"YIR042C"
"YLR025W","S000004015","850712","SNF7","YLR025W"
"YPL275W","S000006196","855853","FDH2",NA
"YNL285W","S000005229",NA,NA,NA
"YDL114W-A","S000007598",NA,NA,NA
"YNL018C","S000004963","855713",NA,"YNL018C"
"YER130C","S000000932","856867","COM2","YER130C"
"YMR244C-A","S000004857","855287","COA6","YMR244C-A"
"YDR545C-A","S000028617",NA,NA,NA
"YPL119C","S000006040","855984","DBP1","YPL119C"
"YDL115C","S000002273","851442","IWR1","YDL115C"
"YNL092W","S000005036","855632",NA,"YNL092W"
"YNL223W","S000005167","855498","ATG4","YNL223W"
"YPL277C","S000006198","855852",NA,"YPL277C"
"YMR316W","S000004935","855364","DIA1","YMR316W"
"YPL283C","S000006204","855846","YRF1-7","YGR296W"
"YPL283C","S000006204","855846","YRF1-7","YPL283C"
"YDR163W","S000002570","851741","CWC15","YDR163W"
"YHL050C","S000001042","856335",NA,"YHL050C"
"YPL276W","S000006197","2827705",NA,NA
"YOR036W","S000005562","854201","PEP12","YOR036W"
"YPR077C","S000006281",NA,NA,NA
"YFL014W","S000001880","850532","HSP12","YFL014W"
"YDR014W-A","S000113613","4036073","HED1","YDR014W-A"
"YBR076W","S000000280","852368","ECM8","YBR076W"
"YOR194C","S000005720","854369","TOA1","YOR194C"
"YLR311C","S000004302",NA,NA,NA
"YER190C-B","S000028627","4594642",NA,"YER190C-B"
"YER190C-B","S000028627","4594642",NA,"YGR296C-B"
"YER190C-B","S000028627","4594642",NA,"YPL283W-B"
"YER190C-B","S000028627","4594642",NA,"YPR204C-A"
"YMR018W","S000004620","855032","PEX9","YMR018W"
"YGL260W","S000003229","852631",NA,"YGL260W"
"YKL217W","S000001700","853663","JEN1","YKL217W"
"YNL226W","S000005170",NA,NA,NA
