"ORF","SGD","ENTREZID","GENENAME","ENSEMBL"
"YDR056C","S000002463","851626","EMC10","YDR056C"
"YIL105W-A","S000028657","13393613",NA,"YIL105W-A"
"YNL094W","S000005038","855630","APP1","YNL094W"
"YLR098C","S000004088","850787","CHA4","YLR098C"
"YOL024W","S000005384","854134",NA,"YOL024W"
"YGR270W","S000003502","853186","YTA7","YGR270W"
"YBR097W","S000000301","852394","VPS15","YBR097W"
"YJL028W","S000003565","853425",NA,"YJL028W"
"YKL105C","S000001588","853756","SEG2","YKL105C"
"YKR055W","S000001763","853929","RHO4","YKR055W"
"YOL075C","S000005435","854080",NA,"YOL075C"
"YFR049W","S000001945","850610","YMR31","YFR049W"
"YDR004W","S000002411","851567","RAD57","YDR004W"
"YPR099C","S000006303","856215",NA,NA
"YHR073C-B","S000028833",NA,NA,NA
"YGR270C-A","S000028641",NA,NA,NA
"YOL151W","S000005511","854014","GRE2","YOL151W"
"YMR101C","S000004707","855127","SRT1","YMR101C"
"YBR223W-A","S000028604",NA,NA,NA
"YHR160C","S000001203","856565","PEX18","YHR160C"
"YMR251W-A","S000004864","855293","HOR7","YMR251W-A"
"YKR095W","S000001803","853970","MLP1","YKR095W"
"YCL040W","S000000545","850317","GLK1","YCL040W"
"YIL001W","S000001263","854816",NA,"YIL001W"
"YBR026C","S000000230","852314","ETR1","YBR026C"
"YNL331C","S000005275","855385","AAD14","YNL331C"
"YAL047C","S000000045","851250","SPC72","YAL047C"
"YOR244W","S000005770","854418","ESA1","YOR244W"
"YPL203W","S000006124","855898","TPK2","YPL203W"
"YIR018W","S000001457","854835","YAP5","YIR018W"
"YML034C-A","S000004499",NA,NA,NA
"YKR091W","S000001799","853966","SRL3","YKR091W"
"YML101C","S000004568","854871","CUE4","YML101C"
"YBL038W","S000000134","852242","MRPL16","YBL038W"
"YGL252C","S000003221","852640","RTG2","YGL252C"
"YBR296C-A","S000028605","1466451",NA,"YBR296C-A"
"YGL005C","S000002973","852879","COG7","YGL005C"
"YOL157C","S000005517","854008","IMA2","YOL157C"
"YOL109W","S000005469","854040","ZEO1","YOL109W"
"YDR519W","S000002927","852131","FPR2","YDR519W"
"YER127W","S000000929","856864","LCP5","YER127W"
"YFL030W","S000001864","850514","AGX1","YFL030W"
"YKL072W","S000001555","853790","STB6","YKL072W"
"YHR086W-A","S000028552","1466529",NA,"YHR086W-A"
"YOR261C","S000005787","854435","RPN8","YOR261C"
"YDR322C-A","S000007255","851922","TIM11","YDR322C-A"
"YGL093W","S000003061","852787","SPC105","YGL093W"
"YDR318W","S000002726","851916","MCM21","YDR318W"
"YER081W","S000000883","856814","SER3","YER081W"
"YIL100W","S000001362",NA,NA,NA
"YGR031C-A","S000028636","8656591","NAG1","YGR031C-A"
"YOL031C","S000005391","854126","SIL1","YOL031C"
"YPR116W","S000006320","856232","RRG8","YPR116W"
"YMR273C","S000004886","855316","ZDS1","YMR273C"
"YLR223C","S000004213","850920","IFH1","YLR223C"
"YKL087C","S000001570","853775","CYT2","YKL087C"
"YPR115W","S000006319","856231","RGC1","YPR115W"
"YGL133W","S000003101","852744","ITC1","YGL133W"
"YGR268C","S000003500","853185","HUA1","YGR268C"
"YJL103C","S000003639","853341","GSM1","YJL103C"
"YDR502C","S000002910","852113","SAM2","YDR502C"
"YHL010C","S000001002","856376","ETP1","YHL010C"
"YOL163W","S000005523","854001",NA,"YOL163W"
"YPL117C","S000006038","855986","IDI1","YPL117C"
"YGL095C","S000003063","852785","VPS45","YGL095C"
"YJR023C","S000003784",NA,NA,NA
"YKL006C-A","S000002101","853863","SFT1","YKL006C-A"
"YGR048W","S000003280","852939","UFD1","YGR048W"
"YPR100W","S000006304","856214","MRPL51","YPR100W"
"YOR313C","S000005840","854490","SPS4","YOR313C"
"YBR136W","S000000340","852433","MEC1","YBR136W"
"YLR270W","S000004260","850974","DCS1","YLR270W"
"YOR032C","S000005558","854197","HMS1","YOR032C"
"YGL174W","S000003142","852701","BUD13","YGL174W"
"YLR024C","S000004014","850711","UBR2","YLR024C"
"YDL244W","S000002403","851353","THI13","YDL244W"
"YNL091W","S000005035","855633","NST1","YNL091W"
"YBR147W","S000000351","852444","RTC2","YBR147W"
"YNL239W","S000005183","855482","LAP3",NA
"YDR365C","S000002773","851969","ESF1","YDR365C"
"YLR453C","S000004445","851174","RIF2","YLR453C"
"YER030W","S000000832","856752","CHZ1","YER030W"
"YOR386W","S000005913","854568","PHR1","YOR386W"
"YLR250W","S000004240","850952","SSP120","YLR250W"
"YKL173W","S000001656","853681","SNU114","YKL173W"
"YOL106W","S000005466",NA,NA,NA
"YKR046C","S000001754","853920","PET10","YKR046C"
"YGL010W","S000002978","852874","MPO1","YGL010W"
"YOL148C","S000005508","854017","SPT20","YOL148C"
"YIL075C","S000001337","854735","RPN2","YIL075C"
"YDR124W","S000002531","851702",NA,"YDR124W"
"YFL044C","S000001850","850500","OTU1","YFL044C"
"YPL191C","S000006112","855910",NA,"YPL191C"
"YPL151C","S000006072","855952","PRP46","YPL151C"
"YAL056C-A","S000002139",NA,NA,NA
"YDL173W","S000002332","851381","PAR32","YDL173W"
"YBR170C","S000000374","852468","NPL4","YBR170C"
"YGR184C","S000003416","853096","UBR1","YGR184C"
"YLR421C","S000004413","851140","RPN13","YLR421C"
"YIL169C","S000001431","854637","CSS1","YIL169C"
"YLR033W","S000004023","850720","RSC58","YLR033W"
"YPL174C","S000006095","855929","NIP100","YPL174C"
"YOR005C","S000005531","854166","DNL4","YOR005C"
"YJL001W","S000003538","853456","PRE3","YJL001W"
"YLR281C","S000004271","850987",NA,"YLR281C"
"YNL063W","S000005007","855662","MTQ1","YNL063W"
"YLR097C","S000004087","850786","HRT3","YLR097C"
"YNL003C","S000004948","855729","PET8","YNL003C"
"YML071C","S000004536","854904","COG8","YML071C"
"YGL134W","S000003102","852743","PCL10","YGL134W"
"YGL143C","S000003111","852734","MRF1","YGL143C"
"YJL210W","S000003746","853219","PEX2","YJL210W"
"YLR324W","S000004316","851034","PEX30","YLR324W"
"YLR055C","S000004045","850744","SPT8","YLR055C"
"YDL089W","S000002247","851469","NUR1","YDL089W"
"YDR118W","S000002525","851696","APC4","YDR118W"
"YEL020C","S000000746","856694","PXP1","YEL020C"
"YDR254W","S000002662","851841","CHL4","YDR254W"
"YLR260W","S000004250","850964","LCB5","YLR260W"
"YCR095W-A","S000029724","3077354",NA,"YCR095W-A"
"YDL104C","S000002262","851454","QRI7","YDL104C"
"YKL213C","S000001696","853667","DOA1","YKL213C"
"YNL245C","S000005189","855476","CWC25","YNL245C"
"YPL027W","S000005948","856080","SMA1","YPL027W"
"YLR016C","S000004006","850703","PML1","YLR016C"
"YDR356W","S000002764","851957","SPC110","YDR356W"
"YMR286W","S000004899","855330","MRPL33","YMR286W"
"YER024W","S000000826","856745","YAT2","YER024W"
"YPL074W","S000005995","856031","YTA6","YPL074W"
"YPL204W","S000006125","855897","HRR25","YPL204W"
"YBR119W","S000000323","852416","MUD1","YBR119W"
"YMR021C","S000004623","855035","MAC1","YMR021C"
"YKR019C","S000001727","853889","IRS4","YKR019C"
"YJR017C","S000003778","853475","ESS1","YJR017C"
"YGL110C","S000003078","852768","CUE3","YGL110C"
"YDR396W","S000002804",NA,NA,NA
"YLR319C","S000004311","851029","BUD6","YLR319C"
"YBR013C","S000000217","852300",NA,"YBR013C"
"YJR152W","S000003913","853617","DAL5","YJR152W"
"YDR397C","S000002805","852006","NCB2","YDR397C"
"YPR097W","S000006301","856212",NA,"YPR097W"
"YJL035C","S000003572","853417","TAD2","YJL035C"
"YGL006W-A","S000028769","1466456",NA,"YGL006W-A"
"YOR279C","S000005805","854453","RFM1","YOR279C"
"YOR040W","S000005566","854205","GLO4","YOR040W"
"YGR212W","S000003444","853126","SLI1","YGR212W"
"YBR081C","S000000285","852373","SPT7","YBR081C"
"YGR019W","S000003251","852902","UGA1","YGR019W"
"YBR129C","S000000333","852426","OPY1","YBR129C"
"YDR452W","S000002860","852063","PPN1","YDR452W"
"YBR292C","S000000496","852595",NA,NA
"YER187W","S000000989","856937",NA,"YER187W"
"YCL032W","S000000537","850325","STE50","YCL032W"
"YGL243W","S000003212","852608","TAD1","YGL243W"
"YOL162W","S000005522","854002",NA,"YOL162W"
"YHL012W","S000001004","856374",NA,"YHL012W"
"YLR181C","S000004171","850878","VTA1","YLR181C"
"YHR038W","S000001080","856433","RRF1","YHR038W"
"YKL215C","S000001698","853665","OXP1","YKL215C"
"YJL070C","S000003606","853375",NA,"YJL070C"
"YKL171W","S000001654","853683","NNK1","YKL171W"
"YBR236C","S000000440","852538","ABD1","YBR236C"
"YKL203C","S000001686","853632","TOR2","YKL203C"
"YER005W","S000000807","856722","YND1","YER005W"
"YBL074C","S000000170","852205","AAR2","YBL074C"
"YGR257C","S000003489","853173","MTM1","YGR257C"
"YFR054C","S000001950","850615",NA,NA
"YDL126C","S000002284","851431","CDC48","YDL126C"
"YML035C","S000004498","854973","AMD1","YML035C"
"YFR033C","S000001929","850593","QCR6","YFR033C"
"YEL071W","S000000797","856638","DLD3","YEL071W"
"YFR039C","S000001935","850600","OSW7","YFR039C"
"YDR520C","S000002928","852133","URC2","YDR520C"
"YIL068C","S000001330","854742","SEC6","YIL068C"
"YKL073W","S000001556","853789","LHS1","YKL073W"
"YKR009C","S000001717","853878","FOX2","YKR009C"
"YDR360W","S000002768",NA,"OPI7",NA
"YHR168W","S000001211","856573","MTG2","YHR168W"
"YBL088C","S000000184","852190","TEL1","YBL088C"
"YCR076C","S000000672","850439","FUB1","YCR076C"
"YJL047C","S000003583","853400","RTT101","YJL047C"
"YLL042C","S000003965","850684","ATG10","YLL042C"
"YLR068W","S000004058","850757","FYV7","YLR068W"
"YOR141C","S000005667","854309","ARP8","YOR141C"
"YNL156C","S000005100","855566","NSG2","YNL156C"
"YAL005C","S000000004","851259","SSA1","YAL005C"
"YMR014W","S000004616","855028","BUD22","YMR014W"
"YNL267W","S000005211","855454","PIK1","YNL267W"
"YGR295C","S000003527","853212","COS6","YGR295C"
"YGR225W","S000003457","853140","AMA1","YGR225W"
"YLR361C","S000004353","851075","DCR2","YLR361C"
"YJR051W","S000003812","853510","OSM1","YJR051W"
"YGR066C","S000003298","852957",NA,"YGR066C"
"YOR209C","S000005735","854384","NPT1","YOR209C"
"YMR211W","S000004824","855251","DML1","YMR211W"
"YJL088W","S000003624","853357","ARG3","YJL088W"
"YJL161W","S000003697","853279","FMP33","YJL161W"
"YLR015W","S000004005","850702","BRE2","YLR015W"
"YPR045C","S000006249","856158","THP3","YPR045C"
"YGR112W","S000003344","853009","SHY1","YGR112W"
"YOR192C-A","S000007353","854366",NA,NA
"YDR051C","S000002458","851621","DET1","YDR051C"
"YHR059W","S000001101","856456","FYV4","YHR059W"
"YDR312W","S000002720","851907","SSF2","YDR312W"
"YBR068C","S000000272","852360","BAP2","YBR068C"
"YJL140W","S000003676","853301","RPB4","YJL140W"
"YMR126C","S000004733","855156","DLT1","YMR126C"
"YDR493W","S000002901","852104","MZM1","YDR493W"
"YER045C","S000000847","856769","ACA1","YER045C"
"YOR192C-B","S000007354","854365",NA,NA
"YER038W-A","S000028746","20098144","FMP49","YER038W-A"
"YIL117C","S000001379","854689","PRM5","YIL117C"
"YNL039W","S000004984","855689","BDP1","YNL039W"
"YBR294W","S000000498","852597","SUL1","YBR294W"
"YFR037C","S000001933","850598","RSC8","YFR037C"
"YIL166C","S000001428","854640",NA,"YIL166C"
"YKL075C","S000001558","853787",NA,"YKL075C"
"YBR298C-A","S000028606","1466452",NA,"YBR298C-A"
"YOR384W","S000005911","854566","FRE5","YOR384W"
"YER134C","S000000936","856873",NA,"YER134C"
"YHR057C","S000001099","856454","CPR2","YHR057C"
"YOR192C","S000005718","854364","THI72","YOR192C"
"YFL052W","S000001842","850492","ZNF1","YFL052W"
"YDL132W","S000002290","851424","CDC53","YDL132W"
"YHR131C","S000001173","856532",NA,"YHR131C"
"YBR270C","S000000474","852573","BIT2","YBR270C"
"YMR213W","S000004826","855253","CEF1","YMR213W"
"YCR023C","S000000617","850387",NA,"YCR023C"
"YBR148W","S000000352","852445","YSW1","YBR148W"
"YBR272C","S000000476","852575","HSM3","YBR272C"
"YBR204C","S000000408","852503","LDH1","YBR204C"
"YML003W","S000004462","855010",NA,"YML003W"
"YJR142W","S000003903","853607",NA,"YJR142W"
"YER087C-A","S000028753",NA,NA,NA
"YGR021W","S000003253","852904",NA,"YGR021W"
"YIL035C","S000001297","854776","CKA1","YIL035C"
"YLR237W","S000004227","850938","THI7","YLR237W"
"YDR335W","S000002743","851935","MSN5","YDR335W"
"YPR188C","S000006392","856318","MLC2","YPR188C"
"YDL206W","S000002365","851321",NA,"YDL206W"
"YMR153C-A","S000004761",NA,NA,NA
"YOR330C","S000005857","854508","MIP1","YOR330C"
"YDL001W","S000002159","851563","RMD1","YDL001W"
"YDR506C","S000002914","852117","GMC1","YDR506C"
"YLR306W","S000004297","851015","UBC12","YLR306W"
"YKL126W","S000001609","853733","YPK1","YKL126W"
"YGR058W","S000003290","852949","PEF1","YGR058W"
"YIL010W","S000001272","854805","DOT5","YIL010W"
"YLR231C","S000004221","850933","BNA5","YLR231C"
"YIL144W","S000001406","854662","NDC80","YIL144W"
"YNL098C","S000005042","855625","RAS2","YNL098C"
"YOR292C","S000005818","854467",NA,"YOR292C"
"YKR087C","S000001795","853962","OMA1","YKR087C"
"YBR077C","S000000281","852369","SLM4","YBR077C"
"YKL193C","S000001676","853641","SDS22","YKL193C"
"YHL013C","S000001005","856373","OTU2","YHL013C"
"YDR290W","S000002698",NA,NA,NA
"YHR156C","S000001199","856561","LIN1","YHR156C"
"YLR148W","S000004138","850840","PEP3","YLR148W"
"YNL277W-A","S000028852","1466509",NA,"YNL277W-A"
"YHR177W","S000001220","856582",NA,"YHR177W"
"YOL013C","S000005373","854149","HRD1","YOL013C"
"YER121W","S000000923","856858",NA,"YER121W"
"YHL019C","S000001011","856367","APM2","YHL019C"
"YLR431C","S000004423","851151","ATG23","YLR431C"
"YNL138W-A","S000028509","1466511","YSF3","YNL138W-A"
"YJR140W-A","S000028666",NA,NA,NA
"YOR353C","S000005880","854535","SOG2","YOR353C"
"YMR314W","S000004931","855362","PRE5","YMR314W"
"YGR035W-A","S000028827","1466457",NA,"YGR035W-A"
"YLR320W","S000004312","851030","MMS22","YLR320W"
"YGL109W","S000003077",NA,NA,NA
"YMR257C","S000004870","855299","PET111","YMR257C"
"YNL165W","S000005109","855556",NA,"YNL165W"
"YOL015W","S000005375","854145","IRC10","YOL015W"
"YKL026C","S000001509","853842","GPX1","YKL026C"
"YIL068W-A","S000028792",NA,NA,NA
"YLR368W","S000004360","851083","MDM30","YLR368W"
"YHR118C","S000001160","856518","ORC6","YHR118C"
"YKL139W","S000001622","853718","CTK1","YKL139W"
"YFL021C-A","S000028766",NA,NA,NA
"YPR094W","S000006298","856209","RDS3","YPR094W"
"YML054C","S000004518","854950","CYB2","YML054C"
"YPL233W","S000006154","855843","NSL1","YPL233W"
"YDL033C","S000002191","851529","SLM3","YDL033C"
"YBL067C","S000000163","852212","UBP13","YBL067C"
"YOL138C","S000005498","853982","RTC1","YOL138C"
"YBR140C","S000000344","852437","IRA1","YBR140C"
"YJL038C","S000003575","853413","LOH1","YJL038C"
"YPL005W","S000005926","856102","AEP3","YPL005W"
"YDR494W","S000002902","852105","RSM28","YDR494W"
"YGR253C","S000003485","853168","PUP2","YGR253C"
"YFL046W","S000001848","850498","FMP32","YFL046W"
"YMR091C","S000004697","855116","NPL6","YMR091C"
"YLR245C","S000004235","850946","CDD1","YLR245C"
"YOR316C","S000005843","854494","COT1","YOR316C"
"YJL069C","S000003605","853376","UTP18","YJL069C"
"YDR221W","S000002629","851807","GTB1","YDR221W"
"YKL168C","S000001651","853686","KKQ8","YKL168C"
"YJR083C","S000003843","853545","ACF4","YJR083C"
"YDR187C","S000002595",NA,NA,NA
"YDR243C","S000002651","851830","PRP28","YDR243C"
"YML121W","S000004590","854918","GTR1","YML121W"
"YBR022W","S000000226","852310","POA1","YBR022W"
"YDR181C","S000002589","851762","SAS4","YDR181C"
"YDR202C","S000002610","851784","RAV2","YDR202C"
"YGL159W","S000003127","852717",NA,"YGL159W"
"YMR197C","S000004810","855237","VTI1","YMR197C"
"YKR029C","S000001737","853900","SET3","YKR029C"
"YER139C","S000000941","856882","RTR1","YER139C"
"YOR350C","S000005877","854532","MNE1","YOR350C"
"YAR053W","S000000085",NA,NA,NA
"YCL001W-A","S000007221","850355",NA,"YCL001W-A"
"YDR176W","S000002583","851756","NGG1","YDR176W"
"YJR021C","S000003782","853478","REC107","YJR021C"
"YLR012C","S000004002","850699",NA,"YLR012C"
"YDR122W","S000002529","851700","KIN1","YDR122W"
"YIL165C","S000001427","854641",NA,"YIL165C"
"YBR044C","S000000248","852332","TCM62","YBR044C"
"YLR407W","S000004399","851123",NA,"YLR407W"
"YOR321W","S000005848","854499","PMT3","YOR321W"
"YJL156W-A","S000007613",NA,NA,NA
"YER066W","S000000868","856796","RRT13","YER066W"
"YKL117W","S000001600","853743","SBA1","YKL117W"
"YHR139C-A","S000003533","856542",NA,NA
"YLR120C","S000004110","850811","YPS1","YLR120C"
"YGL112C","S000003080","852766","TAF6","YGL112C"
"YJR125C","S000003886","853589","ENT3","YJR125C"
"YBL101C","S000000197","852173","ECM21","YBL101C"
"YDR199W","S000002607",NA,NA,NA
"YGR288W","S000003520","853205","MAL13","YGR288W"
"YKL052C","S000001535","853814","ASK1","YKL052C"
"YKL002W","S000001485","853868","DID4","YKL002W"
"YPR088C","S000006292","856203","SRP54","YPR088C"
"YPR173C","S000006377","856303","VPS4","YPR173C"
"YLR207W","S000004197","850904","HRD3","YLR207W"
"YBL050W","S000000146","852230","SEC17","YBL050W"
"YMR188C","S000004800","855226","MRPS17","YMR188C"
"YJR096W","S000003857","853559",NA,"YJR096W"
"YHR030C","S000001072","856425","SLT2","YHR030C"
"YMR087W","S000004693","855112",NA,"YMR087W"
"YJL004C","S000003541","853453","SYS1","YJL004C"
"YGR115C","S000003347",NA,NA,NA
"YHR028W-A","S000028776",NA,NA,NA
"YBR273C","S000000477","852576","UBX7","YBR273C"
"YLR118C","S000004108","850809",NA,"YLR118C"
"YMR184W","S000004796","855222","ADD37","YMR184W"
"YPR148C","S000006352","856271",NA,"YPR148C"
"YJR156C","S000003917","853621","THI11","YJR156C"
"YGL011C","S000002979","852873","SCL1","YGL011C"
"YLR437C","S000004429","851157","DIF1","YLR437C"
"YDR168W","S000002575","851746","CDC37","YDR168W"
"YOR078W","S000005604","854245","BUD21","YOR078W"
"YPR195C","S000006399","856325",NA,NA
"YGL071W","S000003039","852809","AFT1","YGL071W"
"YOR304W","S000005831","854480","ISW2","YOR304W"
"YMR048W","S000004651","855067","CSM3","YMR048W"
"YER133W-A","S000028756",NA,NA,NA
"YPL194W","S000006115","855907","DDC1","YPL194W"
"YLR385C","S000004377","851101","SWC7","YLR385C"
"YGL145W","S000003113","852732","TIP20","YGL145W"
"YGR042W","S000003274","852933","MTE1","YGR042W"
"YLL064C","S000003987","850662","PAU18","YLL064C"
"YLL064C","S000003987","850662","PAU18","YNR076W"
"YMR233W","S000004846","855273","TRI1","YMR233W"
"YML066C","S000004531","854936","SMA2","YML066C"
"YDR283C","S000002691","851877","GCN2","YDR283C"
"YBL015W","S000000111","852266","ACH1","YBL015W"
"YBL109W","S000002150",NA,NA,NA
"YJL099W","S000003635","853346","CHS6","YJL099W"
"YML123C","S000004592","854916","PHO84","YML123C"
"YDL110C","S000002268","851448","TMA17","YDL110C"
"YOR314W","S000005841","854491",NA,NA
"YOR146W","S000005672",NA,NA,NA
"YPR121W","S000006325","856239","THI22","YPR121W"
"YPR057W","S000006261","856170","BRR1","YPR057W"
"YLR461W","S000004453","851183","PAU4","YLR461W"
"YOR298C-A","S000007253","854474","MBF1","YOR298C-A"
"YNL299W","S000005243","855417","TRF5","YNL299W"
"YJL089W","S000003625","853356","SIP4","YJL089W"
"YDL177C","S000002336","851377",NA,"YDL177C"
"YEL005C","S000000731","856713","VAB2","YEL005C"
"YDR336W","S000002744","851936","MRX8","YDR336W"
"YDR003W","S000002410","851566","RCR2","YDR003W"
"YOR208W","S000005734","854383","PTP2","YOR208W"
"YKR035W-A","S000006435","853906","DID2","YKR035W-A"
"YPR095C","S000006299","856210","SYT1","YPR095C"
"YGL053W","S000003021","852828","PRM8","YGL053W"
"YMR065W","S000004669","855087","KAR5","YMR065W"
"YKR039W","S000001747","853912","GAP1","YKR039W"
"YDR490C","S000002898","852101","PKH1","YDR490C"
"YLR398C","S000004390","851114","SKI2","YLR398C"
"YDR034C","S000002441","851598","LYS14","YDR034C"
"YGL052W","S000003020",NA,NA,NA
"YNL330C","S000005274","855386","RPD3","YNL330C"
"YGL250W","S000003219","852642","RMR1","YGL250W"
"YDR535C","S000002943",NA,NA,NA
"YIL055C","S000001317","854756",NA,"YIL055C"
"YMR323W","S000004942","855373","ERR3","YMR323W"
"YHL016C","S000001008","856370","DUR3","YHL016C"
"YOR265W","S000005791","854439","RBL2","YOR265W"
"YJL046W","S000003582","853401","AIM22","YJL046W"
"YBR055C","S000000259","852344","PRP6","YBR055C"
"YOL023W","S000005383","854135","IFM1","YOL023W"
"YMR218C","S000004831","855258","TRS130","YMR218C"
"YPL060C-A","S000007388","856047",NA,NA
"YKL010C","S000001493","853859","UFD4","YKL010C"
"YPL260W","S000006181","855867","CUB1","YPL260W"
"YDR201W","S000002609","851782","SPC19","YDR201W"
"YKL103C","S000001586","853758","APE1","YKL103C"
"YOR190W","S000005716","854362","SPR1","YOR190W"
"YPL173W","S000006094","855930","MRPL40","YPL173W"
"YKR035C","S000001743",NA,"OPI8",NA
"YPR001W","S000006205","856107","CIT3","YPR001W"
"YOR363C","S000005890","854545","PIP2","YOR363C"
"YAL010C","S000000008","851223","MDM10","YAL010C"
"YOL096C","S000005456","854057","COQ3","YOL096C"
"YHR184W","S000001227","856590","SSP1","YHR184W"
"YLR241W","S000004231","850942","CSC1","YLR241W"
"YDR255C","S000002663","851842","RMD5","YDR255C"
"YBR036C","S000000240","852324","CSG2","YBR036C"
"YGL085W","S000003053","852795","LCL3","YGL085W"
"YBR139W","S000000343","852436",NA,"YBR139W"
"YOR162C","S000005688","854333","YRR1","YOR162C"
"YHR124W","S000001166","856524","NDT80","YHR124W"
"YLR288C","S000004279","850995","MEC3","YLR288C"
"YOR308C","S000005835","854485","SNU66","YOR308C"
"YDR188W","S000002596","851768","CCT6","YDR188W"
"YDR334W","S000002742","851934","SWR1","YDR334W"
"YGR105W","S000003337","852997","VMA21","YGR105W"
"YOL068C","S000005429","854086","HST1","YOL068C"
"YFR031C","S000001927","850589","SMC2","YFR031C"
"YBR216C","S000000420","852517","YBP1","YBR216C"
"YDL139C","S000002298","851416","SCM3","YDL139C"
"YJR060W","S000003821","853523","CBF1","YJR060W"
"YKL208W","S000001691","853673","CBT1","YKL208W"
"YDL168W","S000002327","851386","SFA1","YDL168W"
"YMR028W","S000004630","855043","TAP42","YMR028W"
"YGL258W-A","S000007607","852633",NA,"YGL258W-A"
"YPR111W","S000006315","856227","DBF20","YPR111W"
"YFL049W","S000001845","850495","SWP82","YFL049W"
"YGR187C","S000003419","853099","HGH1","YGR187C"
"YGR006W","S000003238","852889","PRP18","YGR006W"
"YPL060W","S000005981","856045","MFM1","YPL060W"
"YGL048C","S000003016","852834","RPT6","YGL048C"
"YMR297W","S000004912","855343","PRC1","YMR297W"
"YOR124C","S000005650","854291","UBP2","YOR124C"
"YJL073W","S000003609","853372","JEM1","YJL073W"
"YDR102C","S000002509","851679",NA,NA
"YER128W","S000000930","856865","VFA1","YER128W"
"YBR298C","S000000502","852601","MAL31","YBR298C"
"YDL013W","S000002171","851549","SLX5","YDL013W"
"YHR006W","S000001048","856397","STP2","YHR006W"
"YGR076C","S000003308","852967","MRPL25","YGR076C"
"YGR079W","S000003311","852970",NA,"YGR079W"
"YDR043C","S000002450","851613","NRG1","YDR043C"
"YKR022C","S000001730","853892","NTR2","YKR022C"
"YDR387C","S000002795","851995","CIN10","YDR387C"
"YPL108W","S000006029","855996",NA,"YPL108W"
"YIR016W","S000001455","854833",NA,"YIR016W"
"YGL194C","S000003162","852681","HOS2","YGL194C"
"YKL150W","S000001633","853707","MCR1","YKL150W"
"YDR338C","S000002746","851938",NA,"YDR338C"
"YLR130C","S000004120","850821","ZRT2","YLR130C"
"YGR130C","S000003362","853031",NA,"YGR130C"
"YDL193W","S000002352","851334","NUS1","YDL193W"
"YGL219C","S000003187","852654","MDM34","YGL219C"
"YIL122W","S000001384","854684","POG1","YIL122W"
"YDL170W","S000002329","851384","UGA3","YDL170W"
"YER008C","S000000810","856726","SEC3","YER008C"
"YLR065C","S000004055","850754","ENV10","YLR065C"
"YMR013C","S000004615","855026","SEC59","YMR013C"
"YHR023W","S000001065","856418","MYO1","YHR023W"
"YPL034W","S000005955","856072",NA,"YPL034W"
"YGR149W","S000003381","853052","GPC1","YGR149W"
"YML069W","S000004534","854933","POB3","YML069W"
"YGL108C","S000003076","852770",NA,"YGL108C"
"YPR068C","S000006272","856181","HOS1","YPR068C"
"YJR138W","S000003899","853603","IML1","YJR138W"
"YPR164W","S000006368","856293","MMS1","YPR164W"
"YFR012W","S000001908","850565","DCV1","YFR012W"
"YMR086C-A","S000004691",NA,NA,NA
"YLR399C","S000004391","851115","BDF1","YLR399C"
"YDR379C-A","S000007605","851986","SDH6","YDR379C-A"
"YDR058C","S000002465","851628","TGL2","YDR058C"
"YDR262W","S000002670","851855",NA,"YDR262W"
"YLL058W","S000003981","850668",NA,"YLL058W"
"YLR236C","S000004226","850937",NA,NA
"YPL076W","S000005997","856029","GPI2","YPL076W"
"YLR330W","S000004322","851041","CHS5","YLR330W"
"YJL098W","S000003634","853347","SAP185","YJL098W"
"YDR099W","S000002506","851676","BMH2","YDR099W"
"YFL056C","S000001838","850488","AAD6",NA
"YJL205C","S000003742","853225","NCE101","YJL205C"
"YPL138C","S000006059","855965","SPP1","YPL138C"
"YCL038C","S000000543","850319","ATG22","YCL038C"
"YOR290C","S000005816","854465","SNF2","YOR290C"
"YMR115W","S000004721","855142","MGR3","YMR115W"
"YBL064C","S000000160","852215","PRX1","YBL064C"
"YLR386W","S000004378","851102","VAC14","YLR386W"
"YPL120W","S000006041","855983","VPS30","YPL120W"
"YGL113W","S000003081","852765","SLD3","YGL113W"
"YBL056W","S000000152","852224","PTC3","YBL056W"
"YIL120W","S000001382","854686","QDR1","YIL120W"
"YKL015W","S000001498","853854","PUT3","YKL015W"
"YPL097W","S000006018","856007","MSY1","YPL097W"
"YDR320C","S000002728","851918","SWA2","YDR320C"
"YJL016W","S000003553","853436","TPH3","YJL016W"
"YML097C","S000004563","854876","VPS9","YML097C"
"YHR001W-A","S000003529","856390","QCR10","YHR001W-A"
"YOL164W","S000005524","854000","BDS1","YOL164W"
"YLR418C","S000004410","851136","CDC73","YLR418C"
"YPL236C","S000006157","855840","ENV7","YPL236C"
"YMR256C","S000004869","855298","COX7","YMR256C"
"YML036W","S000004500","854972","CGI121","YML036W"
"YLL033W","S000003956","850626","IRC19","YLL033W"
"YDR281C","S000002689","851875","PHM6","YDR281C"
"YEL077C","S000006409","856630",NA,"YEL077C"
"YDR291W","S000002699","851885","HRQ1","YDR291W"
"YFL050C","S000001844","850494","ALR2","YFL050C"
"YLR079W","S000004069","850768","SIC1","YLR079W"
"YIL171W","S000001433","2827704",NA,NA
"YLR397C","S000004389","851113","AFG2","YLR397C"
"YKR096W","S000001804","853971","ESL2","YKR096W"
"YML004C","S000004463","855009","GLO1","YML004C"
"YGL117W","S000003085","852761",NA,"YGL117W"
"YOR300W","S000005826",NA,NA,NA
