well_ID,sample,background,rep_ID,condition,smudge,control
A1,BY4741,BY4741,1,YPDA (pH 7.5),yes,yes
B1,BY4742,BY4742,1,YPDA (pH 7.5),,yes
C1,DELHO::KAN (AARON PAPER),BY4741,1,YPDA (pH 7.5),,
D1,YBR KAN DEL,BY4741,1,YPDA (pH 7.5),,
E1,YBR KAN DEL,BY4742,1,YPDA (pH 7.5),,
F1,YBR KAN DEL (AARON PAPER),BY4741,1,YPDA (pH 7.5),,
G1,YBR CRSPR (YARC141),BY4742,1,YPDA (pH 7.5),,
H1,YBR CRSPR (YARC142),BY4742,1,YPDA (pH 7.5),yes,
A2,YBR CRSPR (YARC492),BY4741,1,YPDA (pH 7.5),,
B2,YBR CRSPR (YARC493),BY4741,1,YPDA (pH 7.5),,
C2,YDL204W-A AAG,BY4741,1,YPDA (pH 7.5),,
D2,YDL204W-A ATG,BY4741,1,YPDA (pH 7.5),,
E2,YBR196C-A AAG,BY4741,1,YPDA (pH 7.5),,
F2,YBR196C-A ATG,BY4741,1,YPDA (pH 7.5),,
G2,BLANK,,1,YPDA (pH 7.5),,
H2,BLANK,,1,YPDA (pH 7.5),,
A3,BY4741,BY4741,2,YPDA (pH 7.5),,yes
B3,BY4742,BY4742,2,YPDA (pH 7.5),,yes
C3,DELHO::KAN (AARON PAPER),BY4741,2,YPDA (pH 7.5),,
D3,YBR KAN DEL,BY4741,2,YPDA (pH 7.5),,
E3,YBR KAN DEL,BY4742,2,YPDA (pH 7.5),,
F3,YBR KAN DEL (AARON PAPER),BY4741,2,YPDA (pH 7.5),,
G3,YBR CRSPR (YARC141),BY4742,2,YPDA (pH 7.5),,
H3,YBR CRSPR (YARC142),BY4742,2,YPDA (pH 7.5),,
A4,YBR CRSPR (YARC492),BY4741,2,YPDA (pH 7.5),,
B4,YBR CRSPR (YARC493),BY4741,2,YPDA (pH 7.5),,
C4,YDL204W-A AAG,BY4741,2,YPDA (pH 7.5),,
D4,YDL204W-A ATG,BY4741,2,YPDA (pH 7.5),,
E4,YBR196C-A AAG,BY4741,2,YPDA (pH 7.5),,
F4,YBR196C-A ATG,BY4741,2,YPDA (pH 7.5),,
G4,BLANK,,2,YPDA (pH 7.5),,
H4,BLANK,,2,YPDA (pH 7.5),,
A5,BY4741,BY4741,1,DMSO (pH 7.5),,yes
B5,BY4742,BY4742,1,DMSO (pH 7.5),,yes
C5,DELHO::KAN (AARON PAPER),BY4741,1,DMSO (pH 7.5),,
D5,YBR KAN DEL,BY4741,1,DMSO (pH 7.5),,
E5,YBR KAN DEL,BY4742,1,DMSO (pH 7.5),,
F5,YBR KAN DEL (AARON PAPER),BY4741,1,DMSO (pH 7.5),,
G5,YBR CRSPR (YARC141),BY4742,1,DMSO (pH 7.5),,
H5,YBR CRSPR (YARC142),BY4742,1,DMSO (pH 7.5),,
A6,YBR CRSPR (YARC492),BY4741,1,DMSO (pH 7.5),,
B6,YBR CRSPR (YARC493),BY4741,1,DMSO (pH 7.5),,
C6,YDL204W-A AAG,BY4741,1,DMSO (pH 7.5),,
D6,YDL204W-A ATG,BY4741,1,DMSO (pH 7.5),,
E6,YBR196C-A AAG,BY4741,1,DMSO (pH 7.5),,
F6,YBR196C-A ATG,BY4741,1,DMSO (pH 7.5),,
G6,BLANK,,1,DMSO (pH 7.5),,
H6,BLANK,,1,DMSO (pH 7.5),,
A7,BY4741,BY4741,2,DMSO (pH 7.5),,yes
B7,BY4742,BY4742,2,DMSO (pH 7.5),,yes
