well_ID,sample,background,rep_ID,condition,smudge,control
C7,DELHO::KAN (AARON PAPER),BY4741,2,DMSO (pH 7.5),,
D7,YBR KAN DEL,BY4741,2,DMSO (pH 7.5),,
E7,YBR KAN DEL,BY4742,2,DMSO (pH 7.5),,
F7,YBR KAN DEL (AARON PAPER),BY4741,2,DMSO (pH 7.5),,
G7,YBR CRSPR (YARC141),BY4742,2,DMSO (pH 7.5),,
H7,YBR CRSPR (YARC142),BY4742,2,DMSO (pH 7.5),,
A8,YBR CRSPR (YARC492),BY4741,2,DMSO (pH 7.5),,
B8,YBR CRSPR (YARC493),BY4741,2,DMSO (pH 7.5),,
C8,YDL204W-A AAG,BY4741,2,DMSO (pH 7.5),,
D8,YDL204W-A ATG,BY4741,2,DMSO (pH 7.5),,
E8,YBR196C-A AAG,BY4741,2,DMSO (pH 7.5),,
F8,YBR196C-A ATG,BY4741,2,DMSO (pH 7.5),,
G8,BLANK,,2,DMSO (pH 7.5),,
H8,BLANK,,2,DMSO (pH 7.5),,
A9,BY4741,BY4741,1,1ug/ml Tunicamycin (pH 7.5),,yes
B9,BY4742,BY4742,1,1ug/ml Tunicamycin (pH 7.5),,yes
C9,DELHO::KAN (AARON PAPER),BY4741,1,1ug/ml Tunicamycin (pH 7.5),,
D9,YBR KAN DEL,BY4741,1,1ug/ml Tunicamycin (pH 7.5),,
E9,YBR KAN DEL,BY4742,1,1ug/ml Tunicamycin (pH 7.5),,
F9,YBR KAN DEL (AARON PAPER),BY4741,1,1ug/ml Tunicamycin (pH 7.5),,
G9,YBR CRSPR (YARC141),BY4742,1,1ug/ml Tunicamycin (pH 7.5),,
H9,YBR CRSPR (YARC142),BY4742,1,1ug/ml Tunicamycin (pH 7.5),,
A10,YBR CRSPR (YARC492),BY4741,1,1ug/ml Tunicamycin (pH 7.5),,
B10,YBR CRSPR (YARC493),BY4741,1,1ug/ml Tunicamycin (pH 7.5),,
C10,YDL204W-A AAG,BY4741,1,1ug/ml Tunicamycin (pH 7.5),,
D10,YDL204W-A ATG,BY4741,1,1ug/ml Tunicamycin (pH 7.5),,
E10,YBR196C-A AAG,BY4741,1,1ug/ml Tunicamycin (pH 7.5),,
F10,YBR196C-A ATG,BY4741,1,1ug/ml Tunicamycin (pH 7.5),,
G10,BLANK,,1,1ug/ml Tunicamycin (pH 7.5),,
H10,BLANK,,1,1ug/ml Tunicamycin (pH 7.5),,
A11,BY4741,BY4741,2,1ug/ml Tunicamycin (pH 7.5),,yes
B11,BY4742,BY4742,2,1ug/ml Tunicamycin (pH 7.5),,yes
C11,DELHO::KAN (AARON PAPER),BY4741,2,1ug/ml Tunicamycin (pH 7.5),,
D11,YBR KAN DEL,BY4741,2,1ug/ml Tunicamycin (pH 7.5),,
E11,YBR KAN DEL,BY4742,2,1ug/ml Tunicamycin (pH 7.5),,
F11,YBR KAN DEL (AARON PAPER),BY4741,2,1ug/ml Tunicamycin (pH 7.5),,
G11,YBR CRSPR (YARC141),BY4742,2,1ug/ml Tunicamycin (pH 7.5),,
H11,YBR CRSPR (YARC142),BY4742,2,1ug/ml Tunicamycin (pH 7.5),,
A12,YBR CRSPR (YARC492),BY4741,2,1ug/ml Tunicamycin (pH 7.5),yes,
B12,YBR CRSPR (YARC493),BY4741,2,1ug/ml Tunicamycin (pH 7.5),,
C12,YDL204W-A AAG,BY4741,2,1ug/ml Tunicamycin (pH 7.5),,
D12,YDL204W-A ATG,BY4741,2,1ug/ml Tunicamycin (pH 7.5),,
E12,YBR196C-A AAG,BY4741,2,1ug/ml Tunicamycin (pH 7.5),,
F12,YBR196C-A ATG,BY4741,2,1ug/ml Tunicamycin (pH 7.5),,
G12,BLANK,,2,1ug/ml Tunicamycin (pH 7.5),,
H12,BLANK,,2,1ug/ml Tunicamycin (pH 7.5),,
