well_ID,sample,background,rep_ID,condition,smudge,control
A1,BLANK,,,YPD (pH 5.0),,
A2,BY4741,BY4741,,YPD (pH 5.0),,
A3,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
A4,BY4741,BY4741,,YPD (pH 5.0),,
A5,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
A6,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
A7,BLANK,,,1M NaCl (pH 5.0),,
A8,BY4741,BY4741,,1M NaCl (pH 5.0),,
A9,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
A10,BY4741,BY4741,,1M NaCl (pH 5.0),,
A11,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
A12,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
B1,BY4741,BY4741,,YPD (pH 5.0),,
B2,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
B3,BY4741,BY4741,,YPD (pH 5.0),,
B4,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
B5,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
B6,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
B7,BY4741,BY4741,,1M NaCl (pH 5.0),,
B8,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
B9,BY4741,BY4741,,1M NaCl (pH 5.0),,
B10,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
B11,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
B12,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
C1,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
C2,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
C3,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
C4,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
C5,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
C6,BY4741,BY4741,,YPD (pH 5.0),,
C7,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
C8,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
C9,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
