well_ID,sample,background,rep_ID,condition,smudge,control
C10,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
C11,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
C12,BY4741,BY4741,,1M NaCl (pH 5.0),,
D1,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
D2,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
D3,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
D4,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
D5,BY4741,BY4741,,YPD (pH 5.0),,
D6,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
D7,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
D8,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
D9,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
D10,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
D11,BY4741,BY4741,,1M NaCl (pH 5.0),,
D12,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
E1,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
E2,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
E3,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
E4,BY4741,BY4741,,YPD (pH 5.0),,
E5,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
E6,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
E7,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
E8,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
E9,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
E10,BY4741,BY4741,,1M NaCl (pH 5.0),,
E11,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
E12,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
F1,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
F2,BY4741,BY4741,,YPD (pH 5.0),,
F3,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
F4,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
F5,BY4741,BY4741,,YPD (pH 5.0),,
F6,BY4741,BY4741,,YPD (pH 5.0),,
F7,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
F8,BY4741,BY4741,,1M NaCl (pH 5.0),,
F9,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
F10,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
F11,BY4741,BY4741,,1M NaCl (pH 5.0),,
F12,BY4741,BY4741,,1M NaCl (pH 5.0),,
G1,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
G2,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
G3,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
G4,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
G5,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
G6,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
G7,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
G8,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
G9,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
G10,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
G11,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
G12,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
H1,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
H2,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),,
H3,BY4741,BY4741,,YPD (pH 5.0),,
H4,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
H5,*hog1Δ::KanMX*,BY4741,,YPD (pH 5.0),,
H6,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),,
H7,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),,
H8,*vma3Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
H9,BY4741,BY4741,,1M NaCl (pH 5.0),,
H10,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
H11,*hog1Δ::KanMX*,BY4741,,1M NaCl (pH 5.0),,
H12,*ybr196c-aΔ*,BY4741,,1M NaCl (pH 5.0),yes,
