well_ID,sample,background,rep_ID,condition,smudge,control
H2,*vma3Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
H3,BY4741,BY4741,,YPD (pH 5.0),no,
H4,*vps16Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
H5,*vps16Δ::KanMX*,BY4741,,YPD (pH 5.0),no,
H6,*ybr196c-aΔ*,BY4741,,YPD (pH 5.0),no,
H7,*ybr196c-aΔ*,BY4741,,60mM CaCl2 (pH 7.5),no,
H8,*vma3Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
H9,BY4741,BY4741,,60mM CaCl2 (pH 7.5),no,
H10,*vps16Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
H11,*vps16Δ::KanMX*,BY4741,,60mM CaCl2 (pH 7.5),no,
H12,*ybr196c-aΔ*,BY4741,,60mM CaCl2 (pH 7.5),yes,
