"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048193","BP","GO:0048193","Golgi vesicle transport",0.10752688172043,0.0356524749048114,0.0016263509371551,0.0295995870562229,0.0252607490589705,"YGR284C/YDR166C/YJL024C/YFL005W/YGL137W/YDR238C/YDR170C/YPL218W/YJL117W/YLR372W",10
"GO:0008204","BP","GO:0008204","ergosterol metabolic process",0.043010752688172,0.00571131879543095,0.00180062769946498,0.0300962058339147,0.0256845712662674,"YNR019W/YGR175C/YML075C/YGL012W",4
"GO:0016128","BP","GO:0016128","phytosteroid metabolic process",0.043010752688172,0.00571131879543095,0.00180062769946498,0.0300962058339147,0.0256845712662674,"YNR019W/YGR175C/YML075C/YGL012W",4
"GO:0043248","BP","GO:0043248","proteasome assembly",0.043010752688172,0.00571131879543095,0.00180062769946498,0.0300962058339147,0.0256845712662674,"YDL007W/YFR004W/YIL075C/YOR117W",4
"GO:0044107","BP","GO:0044107","cellular alcohol metabolic process",0.043010752688172,0.00571131879543095,0.00180062769946498,0.0300962058339147,0.0256845712662674,"YNR019W/YGR175C/YML075C/YGL012W",4
"GO:0048308","BP","GO:0048308","organelle inheritance",0.0537634408602151,0.00969193492557979,0.00193820990401295,0.0305885665672434,0.0261047595921209,"YGL055W/YDR166C/YDL204W/YOR326W/YDR233C",5
"GO:0006874","BP","GO:0006874","cellular calcium ion homeostasis",0.032258064516129,0.00276912426445137,0.00194213121061863,0.0305885665672434,0.0261047595921209,"YLR220W/YBR127C/YBR187W",3
"GO:1902475","BP","GO:1902475","L-alpha-amino acid transmembrane transport",0.032258064516129,0.00276912426445137,0.00194213121061863,0.0305885665672434,0.0261047595921209,"YPR058W/YBR104W/YOR222W",3
"GO:0006820","BP","GO:0006820","anion transport",0.0860215053763441,0.0249221183800623,0.00208899470425426,0.0318186515174243,0.0271545332659466,"YML123C/YKL120W/YPR058W/YBR104W/YJL117W/YOR222W/YJR077C/YDR508C",8
"GO:0006865","BP","GO:0006865","amino acid transport",0.0537634408602151,0.009865005192108,0.00209793306708292,0.0318186515174243,0.0271545332659466,"YPR058W/YBR104W/YOR222W/YOL092W/YDR508C",5
"GO:0006904","BP","GO:0006904","vesicle docking involved in exocytosis",0.032258064516129,0.00294219453097958,0.00233097623073712,0.0340905273745304,0.029093387541531,"YDR166C/YOR326W/YFL005W",3
"GO:0055074","BP","GO:0055074","calcium ion homeostasis",0.032258064516129,0.00294219453097958,0.00233097623073712,0.0340905273745304,0.029093387541531,"YLR220W/YBR127C/YBR187W",3
"GO:0006457","BP","GO:0006457","protein folding",0.0752688172043011,0.0202492211838006,0.00262566656708045,0.0372060841636565,0.0317522522777044,"YLR259C/YJL014W/YDR212W/YDL143W/YJL117W/YML048W/YNL064C",7
"GO:0046942","BP","GO:0046942","carboxylic acid transport",0.0537634408602151,0.0103842159916926,0.00263486310316493,0.0372060841636565,0.0317522522777044,"YKL120W/YPR058W/YBR104W/YOR222W/YDR508C",5
"GO:0015698","BP","GO:0015698","inorganic anion transport",0.043010752688172,0.00640359986154379,0.00276719592742429,0.0384124316027202,0.0327817679894688,"YML123C/YKL120W/YJL117W/YJR077C",4
"GO:0015849","BP","GO:0015849","organic acid transport",0.0645161290322581,0.0154032537210107,0.00293914908248777,0.0401193849759581,0.034238508610033,"YKL120W/YPR058W/YBR104W/YOR222W/YOL092W/YDR508C",6
"GO:0016126","BP","GO:0016126","sterol biosynthetic process",0.043010752688172,0.006576670128072,0.00305512060373994,0.040566173205266,0.034619804650468,"YGR175C/YML075C/YGL012W/YHR133C",4
"GO:0007034","BP","GO:0007034","vacuolar transport",0.0967741935483871,0.0325372101073036,0.00307094351492856,0.040566173205266,0.034619804650468,"YBR302C/YML132W/YDL126C/YNL297C/YJL024C/YGL137W/YOL092W/YLR372W/YCR034W",9
