"baseMean","log2FoldChange","lfcSE","pvalue","padj","orf_name","contrast"
857.659441939558,0.20067706639515,0.0721350810449826,0.00437321161098588,0.0114522686157562,"YIL114C","KAN_vs_WT"
510.231544125866,0.401409318400145,0.109156700942201,9.94263322174176e-05,0.000362954935460348,"YIL113W","KAN_vs_WT"
2003.56331228694,0.0436619274446389,0.0659772916897195,0.498836276148851,0.611117958314189,"YIL112W","KAN_vs_WT"
3958.43506056382,-0.0521269024446714,0.0480082726550006,0.27172294009393,0.384808888044273,"YIL111W","KAN_vs_WT"
491.320303752471,-0.48411217081721,0.117396124744646,1.15925381247527e-05,4.90316254419763e-05,"YIL110W","KAN_vs_WT"
6334.58653930047,0.0284546184062014,0.0477520413646391,0.549902504813169,0.657614293700684,"YIL109C","KAN_vs_WT"
3244.87759772761,0.505426618492597,0.0637902815767975,7.30858841768438e-16,7.54623696263849e-15,"YIL108W","KAN_vs_WT"
3330.54104348258,0.323485297573791,0.0592635491700972,2.94901065983836e-08,1.69715832053903e-07,"YIL107C","KAN_vs_WT"
963.031932638192,0.229533763140901,0.0739938327514296,0.00142888415435147,0.00421330796609749,"YIL106W","KAN_vs_WT"
1356.89566313346,-0.0466242488682675,0.0660227626882047,0.477580003998813,0.591035653205738,"YIL105C","KAN_vs_WT"
322.106557565395,-0.342634689552103,0.11654414219173,0.00165944429625959,0.00482338017850246,"YIL104C","KAN_vs_WT"
689.217905541443,-0.170751616865753,0.0869574031297378,0.0413316798552296,0.0830708921772251,"YIL103W","KAN_vs_WT"
233.470955623015,-0.145280215935003,0.155185067959613,0.287624214235636,0.403934674711227,"YIL102C-A","KAN_vs_WT"
66.373779446991,0.0929482295115961,0.212811228210708,0.572934456430845,0.677718612913986,"YIL102C","KAN_vs_WT"
1677.63390127921,0.365560098262717,0.0751151001983833,5.62544704752949e-07,2.84150278923572e-06,"YIL101C","KAN_vs_WT"
11.8361049704394,0.165915004497998,0.330633243952761,0.283645704838485,0.399722838732022,"YIL100C-A","KAN_vs_WT"
