"","column","row","cor","num_obs","gene1","gene2"
"135","YMR247C","YDR238C",0.901650674720619,3916,"SEC26","RKR1"
"136","YMR247C","YJL207C",0.905825481234609,3916,"LAA1","RKR1"
"137","YMR259C","YJR132W",0.908422409603346,3916,"NMD5","TRM732"
"138","YMR259C","YKL205W",0.925300389563286,3916,"LOS1","TRM732"
"139","YMR259C","YER110C",0.900316014083369,3916,"KAP123","TRM732"
"140","YMR259C","YEL055C",0.92156929407939,3916,"POL5","TRM732"
"141","YMR259C","YDR395W",0.929263500641582,3916,"SXM1","TRM732"
"142","YMR259C","YJL109C",0.914361547731167,3916,"UTP10","TRM732"
"143","YMR288W","YDR211W",0.908422409603346,3916,"GCD6","HSH155"
"144","YMR288W","YHR186C",0.914735231169025,3911,"KOG1","HSH155"
"145","YMR288W","YKL033W",0.907064518216402,3916,"TTI1","HSH155"
"146","YMR288W","YLR386W",0.906914277162321,3916,"VAC14","HSH155"
"147","YMR308C","YKL205W",0.954549472003934,3916,"LOS1","PSE1"
"148","YMR308C","YDR395W",0.953086844381661,3916,"SXM1","PSE1"
"149","YMR308C","YEL055C",0.916792186542972,3916,"POL5","PSE1"
"150","YMR308C","YJL207C",0.904726489713713,3916,"LAA1","PSE1"
"151","YMR308C","YJL010C",0.902557877962433,3916,"NOP9","PSE1"
"152","YMR308C","YBR017C",0.914248558460686,3916,"KAP104","PSE1"
"153","YMR308C","YJR132W",0.943484382589547,3916,"NMD5","PSE1"
"154","YMR308C","YMR247C",0.900838074550942,3916,"RKR1","PSE1"
"155","YMR308C","YMR259C",0.949954433957366,3916,"TRM732","PSE1"
"156","YMR308C","YIL128W",0.915641657383543,3916,"MET18","PSE1"
"157","YMR308C","YGL016W",0.940237422978909,3916,"KAP122","PSE1"
"158","YNL201C","YMR288W",0.91319496851504,3916,"HSH155","PSY2"
"159","YNL271C","YBL034C",0.906357135070993,3916,"STU1","BNI1"
"160","YNL271C","YKL203C",0.91007572421166,3916,"TOR2","BNI1"
"161","YNL271C","YDR170C",0.909975004444058,3916,"SEC7","BNI1"
"162","YNL271C","YBR136W",0.912716677668973,3916,"MEC1","BNI1"
"163","YNL287W","YIL128W",0.91707070760117,3916,"MET18","SEC21"
"164","YNL287W","YDR141C",0.916261022765635,3916,"DOP1","SEC21"
"165","YNL287W","YKL033W",0.909509169715208,3916,"TTI1","SEC21"
"166","YNL287W","YBR097W",0.940534396413939,3916,"VPS15","SEC21"
