"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE"
"sce04145","Phagosome",0.0290275761973875,0.0168837433671008,0.00287272898369927,0.0476841987572492,0.0422685418346807,"YBR127C/YBR283C/YDL185W/YDR086C/YEL027W/YER019C-A/YER087C-B/YFL037W/YGR020C/YHR026W/YHR039C-A/YKL080W/YLR268W/YLR378C/YML001W/YML085C/YML124C/YOR270C/YPL234C/YPR036W",20,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down"
"sce00513","Various types of N-glycan biosynthesis",0.0261248185776488,0.014954172696575,0.0036665952842387,0.0497609360003823,0.0441094169532475,"YBL082C/YBR015C/YBR070C/YDL232W/YEL002C/YEL036C/YER001W/YGL022W/YGL038C/YGL226C-A/YJL002C/YJL183W/YJL186W/YMR149W/YNL219C/YNR030W/YOR085W/YPL053C",18,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down"
"sce00290","Valine, leucine and isoleucine biosynthesis",0.0145137880986938,0.00578871201157742,0.000511027071947627,0.0121368929587561,0.0107584646725816,"YCL009C/YCL064C/YER086W/YGL009C/YHR208W/YJR016C/YLR355C/YMR108W/YNL104C/YOR108W",10,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down"
"sce04138","Autophagy - yeast",0.0808510638297872,0.0434153400868307,1.84014440897525e-05,0.00167453141216747,0.00156896523291574,"YBL078C/YNL223W/YLR211C/YGL180W/YLR423C/YPL149W/YEL060C/YNR007C/YPR185W/YMR159C/YKL048C/YPR049C/YHR171W/YGL212W/YNL242W/YBR128C/YDR080W/YBR131W/YDR173C/YDL149W/YCR068W/YJL164C/YDR495C/YPL154C/YDR022C/YPL166W/YOR003W/YBR097W/YPL203W/YGL095C/YKL203C/YNL098C/YLR148W/YMR197C/YBL050W/YHR030C/YDR283C/YAL002W",38,"raw_B1_WT_vs_B1_ATG","Up"
"sce03010","Ribosome",0.197163120567376,0.0829715388326097,1.12062027897247e-39,1.06458926502385e-37,9.43680234924184e-38,"YDR337W/YGL068W/YML009C/YPL183W-A/YGR118W/YPR132W/YDL081C/YDR500C/YHL004W/YDL130W/YLR009W/YFL034C-A/YNL067W/YBL027W/YBR084C-A/YPL198W/YLR029C/YJL191W/YGR085C/YHL001W/YHL033C/YNL096C/YBL092W/YLR075W/YMR194W/YLR185W/YOR063W/YDL136W/YDL191W/YBR181C/YPL090C/YLR264W/YLR333C/YHR203C/YJR145C/YDL133C-A/YDL184C/YGR027C/YBR189W/YDR471W/YOL127W/YBL087C/YER117W/YGL123W/YNL178W/YCR031C/YLR441C/YKL156W/YLR287C-A/YOR182C/YGL135W/YPL220W/YLL045C/YPR102C/YOR096W/YGL103W/YHR010W/YDR382W/YDL075W/YOL121C/YLR406C/YOR167C/YLR344W/YJL177W/YNL301C/YOL120C/YML063W/YHL015W/YGR034W/YGL189C/YML024W/YDR450W/YML026C/YJR123W/YNL069C/YLR388W/YMR230W/YFR031C-A/YIL018W/YDL083C/YMR143W/YLR340W/YHR141C/YNL162W/YIL052C/YGR148C/YPL249C-A/YJR094W-A/YPR043W/YDL061C/YOR234C/YBR191W/YIL133C/YOL039W/YPL131W/YBR048W/YDR025W/YLR061W/YPL143W/YFR032C-A/YKL180W/YLR167W/YDR064W/YGL076C/YIL148W/YKR094C/YOR293W/YER074W/YIL069C/YJL136C/YMR142C/YDR418W/YEL054C/YGL031C/YHR021C/YER056C-A/YPL079W/YKL006W/YKR057W/YJL190C/YML073C/YBL072C/YER102W/YER131W/YBR031W/YGR214W/YLR325C/YLR048W/YDL082W/YOL040C/YDR012W/YGL147C/YDR447C/YNL302C/YOR369C/YLR448W/YLR367W/YGL030W/YJL189W",139,"raw_B1_WT_vs_B1_ATG","Down"
"sce01230","Biosynthesis of amino acids",0.0822695035460993,0.0602990834539315,0.00207426397000681,0.0328425128584411,0.0291124767720253,"YBR248C/YER090W/YML082W/YIL116W/YNR050C/YEL046C/YNL104C/YDL066W/YGR155W/YDR127W/YMR205C/YBR218C/YLR180W/YMR108W/YHR033W/YGL009C/YER052C/YKL181W/YCL009C/YIR034C/YKL060C/YBL068W/YER023W/YDR111C/YLR355C/YAL038W/YGL026C/YBR263W/YHR208W/YDR234W/YOL061W/YPR060C/YER055C/YGL148W/YGR124W/YAL012W/YLR089C/YDL171C/YHL011C/YOR202W/YPR145W/YOR095C/YOR136W/YDR158W/YPL111W/YHR174W/YJL121C/YER086W/YBR249C/YGL202W/YJL200C/YPR074C/YCR053W/YLR058C/YHR025W/YJR016C/YOR108W/YCL064C",58,"raw_B1_WT_vs_B1_ATG","Down"
"sce03008","Ribosome biogenesis in eukaryotes",0.0581560283687943,0.0356970574047275,9.7662850499457e-05,0.00368763615759033,0.00326881875465071,"YJR002W/YML093W/YPL217C/YLR129W/YPL043W/YLR022C/YLR059C/YDR339C/YNL075W/YDR398W/YHR089C/YLL034C/YHR196W/YLR175W/YPR016C/YHR148W/YLR409C/YPL169C/YDL208W/YGL099W/YDR324C/YER006W/YHR072W-A/YHR170W/YLR106C/YHR062C/YPL126W/YLR293C/YGR128C/YCR057C/YJL109C/YLR222C/YPL093W/YMR093W/YOR310C/YDL014W/YGR090W/YLR197W/YNL132W/YLR186W/YEL026W",41,"raw_B1_WT_vs_B1_ATG","Down"
"sce00230","Purine metabolism",0.0411347517730496,0.0270139893873613,0.00412956737177762,0.0490386125398593,0.0434691302292381,"YKL127W/YJR069C/YJL026W/YKL181W/YNL220W/YBL068W/YHR216W/YIL066C/YLR432W/YLR359W/YAR015W/YDR454C/YOL061W/YDR408C/YDR226W/YHL011C/YMR120C/YMR300C/YGR061C/YCL050C/YGL234W/YGL101W/YJR105W/YML056C/YDR399W/YMR217W/YNL141W/YML022W/YER070W",29,"raw_B1_WT_vs_B1_ATG","Down"
"sce01232","Nucleotide metabolism",0.0340425531914894,0.020260492040521,0.00159650992067657,0.0303336884928549,0.0268885881377107,"YJR069C/YJL026W/YNL220W/YDR020C/YHR216W/YIL066C/YLR432W/YHR128W/YLR359W/YNR012W/YKL024C/YDR454C/YDR226W/YOR074C/YBR252W/YGL101W/YJR105W/YML056C/YDR399W/YMR217W/YNL141W/YBL039C/YML022W/YER070W",24,"raw_B1_WT_vs_B1_ATG","Down"
"sce03020","RNA polymerase",0.0297872340425532,0.014954172696575,0.000116451668134432,0.00368763615759033,0.00326881875465071,"YIL021W/YNL113W/YDL150W/YDL140C/YDR156W/YBR154C/YOL005C/YPR190C/YHR143W-A/YJL011C/YNR003C/YPR187W/YGL070C/YJL148W/YJR063W/YOR340C/YPR110C/YOR224C/YOR341W/YNL248C/YPR010C",21,"raw_B1_WT_vs_B1_ATG","Down"
