"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"sce04141","sce04141","Protein processing in endoplasmic reticulum",93,0.289139899567763,2.17430609669091,0.000193752828984691,0.00185679794443662,0.00134267311313953,3110,"tags=77%, list=54%, signal=36%","YBR082C/YML013W/YLR090W/YBR273C/YDR221W/YMR276W/YDR057W/YER100W/YBR170C/YPL240C/YGR048W/YMR264W/YDR328C/YBR101C/YJR131W/YPL096W/YPL106C/YLR207W/YCL043C/YLR080W/YML029W/YBR201W/YDR086C/YJL034W/YOL013C/YGL022W/YER103W/YDL072C/YKL213C/YOL133W/YDR171W/YDL195W/YMR214W/YDL126C/YEL002C/YNL049C/YLR378C/YIL005W/YMR161W/YAL058W/YBL058W/YAL005C/YDL190C/YBR229C/YBR169C/YLR208W/YIL109C/YNL064C/YML130C/YDR411C/YGL027C/YPL094C/YCR067C/YMR186W/YNL077W/YJL002C/YLL024C/YLR057W/YHR079C/YEL037C/YOR254C/YJL073W/YPR181C/YOR085W/YNR026C/YBL075C/YOR288C/YOR336W/YDR518W/YFL044C/YFL048C/YIL030C"
"sce00010","sce00010","Glycolysis / Gluconeogenesis",53,-0.253429240654238,-2.36259246385752,0.00024466084693715,0.00216430749213633,0.00156503699660201,2032,"tags=68%, list=35%, signal=44%","YPL061W/YMR110C/YMR099C/YOL056W/YMR205C/YGR240C/YBR145W/YMR169C/YOL086C/YBR221C/YGL253W/YER178W/YBR019C/YBR196C/YGR192C/YMR318C/YAL038W/YLR044C/YGR087C/YHR174W/YAL054C/YKR097W/YJL052W/YKL152C/YGL256W/YLR134W/YLR153C/YDR050C/YCR012W/YKL127W/YKL060C/YGR254W/YLR377C/YJR009C/YMR323W/YMR303C"
"sce03022","sce03022","Basal transcription factors",32,0.411702873160476,2.24510313325789,0.000327468795426066,0.00268992224814268,0.00194511540140295,3390,"tags=100%, list=59%, signal=41%","YOR194C/YPR086W/YDR460W/YGR186W/YML114C/YKL028W/YGL112C/YPR025C/YML015C/YML098W/YMR227C/YCR042C/YMR236W/YDR145W/YBR198C/YGR005C/YDR432W/YPL129W/YDR079C-A/YPL011C/YGR274C/YDR311W/YLR005W/YIL143C/YDR167W/YPL122C/YKR062W/YER148W/YPR056W/YKL058W/YDL108W/YER171W"
"sce04139","sce04139","Mitophagy - yeast",40,0.373118177096414,2.19050646627697,0.000525532384279221,0.00402908161280736,0.00291347777951287,2761,"tags=82%, list=48%, signal=43%","YPR024W/YIL035C/YER151C/YOL009C/YAL010C/YGL219C/YLL006W/YDR208W/YOR008C/YOL004W/YJL128C/YOL027C/YBL105C/YDR207C/YPL140C/YOR231W/YCR079W/YOR330C/YPR049C/YNR051C/YOR061W/YIL065C/YGL180W/YOL105C/YJR066W/YJL095W/YHR030C/YLR006C/YLL001W/YKL203C/YOR039W/YLR356W/YIL147C"
"sce00062","sce00062","Fatty acid elongation",8,-0.646545708304257,-2.31007264859015,0.000831430514347021,0.00597590682186922,0.00432125069956676,2035,"tags=100%, list=35%, signal=65%","YBR026C/YDL015C/YJL196C/YJR019C/YLR372W/YJL097W/YCR034W"
"sce03250","sce03250","Viral life cycle - HIV-1",15,0.515799614245028,2.11753129811243,0.000939869604545918,0.0063579414425165,0.00459750456712864,1648,"tags=73%, list=29%, signal=52%","YJR017C/YCL008C/YNR006W/YPR173C/YLR025W/YBR289W/YGR252W/YMR077C/YGR218W/YML010W/YOR275C"
"sce01232","sce01232","Nucleotide metabolism",42,-0.248942643231227,-2.05949083982013,0.00126196879653325,0.00806257842229578,0.00583014824129397,2739,"tags=79%, list=48%, signal=41%","YML035C/YNL220W/YGR180C/YIL066C/YOR111W/YLR359W/YBR242W/YJR105W/YDL166C/YDR020C/YJL026W/YJR069C/YDR226W/YKL024C/YOR074C/YLR209C/YHR144C/YNR012W/YBR252W/YDR454C/YLR432W/YML056C/YHR128W/YMR217W/YDR441C/YER070W/YHR216W/YDR399W/YBL039C/YDR400W/YML022W/YNL141W/YGL101W"
"sce01212","sce01212","Fatty acid metabolism",22,-0.357149238722187,-2.13945346341023,0.00204839125776416,0.0123981576127831,0.00896525813647472,2304,"tags=82%, list=40%, signal=49%","YHR067W/YMR246W/YBR159W/YNR016C/YBR026C/YPL028W/YIL009W/YER015W/YDL015C/YPL231W/YJL196C/YLR372W/YGL055W/YKL182W/YJL097W/YIL160C/YGL205W/YCR034W"
"sce00730","sce00730","Thiamine metabolism",18,-0.394696185400559,-2.12187474993209,0.00216520830353694,0.0124499477453374,0.00900270820944308,1447,"tags=72%, list=25%, signal=54%","YHR215W/YCL017C/YOL055C/YAR071W/YPR073C/YJR156C/YDL244W/YNL332W/YBR093C/YOR143C/YGR144W/YBR092C/YFL058W"
"sce04392","sce04392","Hippo signaling pathway - multiple species",8,0.629099790648988,2.00758225998956,0.00260680666183925,0.014275369814834,0.0103226930468822,2134,"tags=100%, list=37%, signal=63%","YHR135C/YAR019C/YGR092W/YIL106W/YHL007C/YNL154C/YBR083W/YOR373W"
"sce04130","sce04130","SNARE interactions in vesicular transport",20,0.426051116075958,1.95183275375536,0.0032807570977918,0.0171494121020935,0.0124009478816054,2399,"tags=80%, list=42%, signal=47%","YGL212W/YDR468C/YAL030W/YOR075W/YMR197C/YAL014C/YLR026C/YDR498C/YGL098W/YPL232W/YOL018C/YMR183C/YOR106W/YHL031C/YIL004C/YLR078C"
"sce04111","sce04111","Cell cycle - yeast",130,0.223307048014359,1.81358530348591,0.00345739271913769,0.0172869635956884,0.0125004130348685,3473,"tags=77%, list=61%, signal=31%","YFL009W/YML064C/YLR102C/YPL194W/YHR166C/YGR113W/YJL030W/YDR328C/YKL022C/YJR046W/YFR034C/YLR288C/YLR086W/YAR019C/YDL028C/YHR118C/YIL046W/YOR249C/YDL106C/YGR092W/YIL106W/YDL056W/YLR079W/YPR111W/YDL155W/YLR182W/YJL013C/YLR176C/YBR060C/YPL031C/YOL133W/YPR162C/YGL086W/YDR260C/YOR083W/YFR031C/YDR499W/YGL003C/YBL097W/YBR274W/YFR028C/YER147C/YGR188C/YNL172W/YCR084C/YOR195W/YBR160W/YLR127C/YDL017W/YDR118W/YBL084C/YDR217C/YDR325W/YJR090C/YDR113C/YMR055C/YHR152W/YOR368W/YPR019W/YGL201C/YOR026W/YML065W/YGL190C/YMR043W/YER173W/YBR112C/YAL016W/YDR110W/YNL261W/YFL008W/YDR052C/YJL076W/YBL023C/YOL001W/YGL240W/YCL061C/YLR103C/YDL179W/YFL029C/YJR053W/YLR210W/YDL188C/YGL116W/YDL101C/YIL026C/YER111C/YBR202W/YGR098C/YMR036C/YCL024W/YJL187C/YBR133C/YFR036W/YDL134C/YGR233C/YBR136W/YDR146C/YEL032W/YKL101W/YPL153C"
"sce00030","sce00030","Pentose phosphate pathway",28,-0.28107478010032,-1.90478796494011,0.00463040338509209,0.0221873495535663,0.0160439415536086,2560,"tags=79%, list=45%, signal=44%","YNR034W/YHR163W/YMR105C/YKL181W/YGR043C/YHL011C/YJL121C/YMR205C/YGR240C/YGR248W/YPR074C/YBR196C/YLR354C/YGR256W/YBL068W/YBR117C/YOL061W/YKL127W/YKL060C/YLR377C/YHR183W/YOR095C"
