"","target_orf","target","source_orf","source","interactor","min_peps","min_prob","min_crap_expt","pma_int"
"14","YBR080C","SEC18","YBL050W","SEC17","Literature",1,90,3,"Not A PMA1 Interactor"
"37","YDL100C","GET3","YBR069C","TAT1","Predicted",1,90,3,"Not A PMA1 Interactor"
"167","YDR508C","GNP1","YDL100C","GET3","Predicted",1,90,3,"Not A PMA1 Interactor"
"176","YDR508C","GNP1","YBR069C","TAT1","Predicted",1,90,3,"Not A PMA1 Interactor"
"225","YER145C","FTR1","YEL013W","VAC8","Predicted",1,90,3,"Not A PMA1 Interactor"
"355","YGR191W","HIP1","YDR508C","GNP1","Predicted",1,90,3,"Not A PMA1 Interactor"
"371","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,90,3,"Not A PMA1 Interactor"
"392","YHR005C","GPA1","YDL100C","GET3","Predicted",1,90,3,"Not A PMA1 Interactor"
"545","YJL012C","VTC4","YGR191W","HIP1","Predicted",1,90,3,"PMA1 Interactor"
"550","YJL012C","VTC4","YDR508C","GNP1","Predicted",1,90,3,"Not A PMA1 Interactor"
"553","YJL012C","VTC4","YBR069C","TAT1","Predicted",1,90,3,"Not A PMA1 Interactor"
"938","YJR109C","CPA2","YER086W","ILV1","Predicted",1,90,3,"Not A PMA1 Interactor"
"1023","YKL010C","UFD4","YJR109C","CPA2","Predicted",1,90,3,"Not A PMA1 Interactor"
"1200","YKR082W","NUP133","YDR335W","MSN5","Predicted",1,90,3,"Not A PMA1 Interactor"
"1203","YKR082W","NUP133","YJR072C","NPA3","Predicted",1,90,3,"Not A PMA1 Interactor"
"1247","YLR056W","ERG3","YHR190W","ERG9","Predicted",1,90,3,"Not A PMA1 Interactor"
"1256","YLR056W","ERG3","YGR175C","ERG1","Predicted",1,90,3,"Not A PMA1 Interactor"
"1462","YMR015C","ERG5","YGL055W","OLE1","Predicted",1,90,3,"Not A PMA1 Interactor"
"1472","YMR015C","ERG5","YLR056W","ERG3","Predicted",1,90,3,"Not A PMA1 Interactor"
"1486","YMR015C","ERG5","YGR175C","ERG1","Predicted",1,90,3,"Not A PMA1 Interactor"
"1664","YMR235C","RNA1","YJR109C","CPA2","Predicted",1,90,3,"Not A PMA1 Interactor"
"1673","YMR235C","RNA1","YDR002W","YRB1","Predicted",1,90,3,"Not A PMA1 Interactor"
"1697","YMR296C","LCB1","YDR062W","LCB2","Co-complex",1,90,3,"Not A PMA1 Interactor"
"1703","YMR296C","LCB1","YDR062W","LCB2","Predicted",1,90,3,"Not A PMA1 Interactor"
"1712","YMR296C","LCB1","YDR062W","LCB2","Literature",1,90,3,"Not A PMA1 Interactor"
"1756","YNL297C","MON2","YDR141C","DOP1","Co-complex",1,90,3,"Not A PMA1 Interactor"
"1795","YOL061W","PRS5","YKL181W","PRS1","Predicted",1,90,3,"Not A PMA1 Interactor"
"1888","YOR151C","RPB2","YJR072C","NPA3","Predicted",1,90,3,"Not A PMA1 Interactor"
"2225","YPR156C","TPO3","YER145C","FTR1","Predicted",1,90,3,"Not A PMA1 Interactor"
"2248","YPR156C","TPO3","YDR141C","DOP1","Predicted",1,90,3,"Not A PMA1 Interactor"
"9","YBR080C","SEC18","YBL050W","SEC17","Literature",1,90,5,"Not A PMA1 Interactor"
"36","YDL100C","GET3","YBR069C","TAT1","Predicted",1,90,5,"Not A PMA1 Interactor"
"59","YDL185W","VMA1","YBR025C","OLA1","Co-complex",1,90,5,"Not A PMA1 Interactor"
"106","YDR099W","BMH2","YDR062W","LCB2","Predicted",1,90,5,"Not A PMA1 Interactor"
"112","YDR190C","RVB1","YCR093W","CDC39","Predicted",1,90,5,"Not A PMA1 Interactor"
"134","YDR190C","RVB1","YBR287W","YBR287W","Predicted",1,90,5,"Not A PMA1 Interactor"
"151","YDR508C","GNP1","YBR069C","TAT1","Predicted",1,90,5,"Not A PMA1 Interactor"
"155","YDR508C","GNP1","YDL100C","GET3","Predicted",1,90,5,"Not A PMA1 Interactor"
"216","YER086W","ILV1","YDR190C","RVB1","Predicted",1,90,5,"Not A PMA1 Interactor"
"228","YER145C","FTR1","YEL013W","VAC8","Predicted",1,90,5,"Not A PMA1 Interactor"
"341","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,90,5,"Not A PMA1 Interactor"
"344","YGR191W","HIP1","YDR508C","GNP1","Predicted",1,90,5,"Not A PMA1 Interactor"
"379","YHR005C","GPA1","YDL100C","GET3","Predicted",1,90,5,"Not A PMA1 Interactor"
"399","YHR020W","YHR020W","YGR175C","ERG1","Co-complex",1,90,5,"Not A PMA1 Interactor"
"401","YHR020W","YHR020W","YEL022W","GEA2","Co-complex",1,90,5,"Not A PMA1 Interactor"
"454","YHR108W","GGA2","YGL206C","CHC1","Literature",1,90,5,"Not A PMA1 Interactor"
"473","YHR108W","GGA2","YGL206C","CHC1","Predicted",1,90,5,"Not A PMA1 Interactor"
"503","YIL142W","CCT2","YDR188W","CCT6","Co-complex",1,90,5,"Not A PMA1 Interactor"
"504","YIL142W","CCT2","YDR212W","TCP1","Predicted",1,90,5,"Not A PMA1 Interactor"
"525","YJL012C","VTC4","YBR069C","TAT1","Predicted",1,90,5,"Not A PMA1 Interactor"
"527","YJL012C","VTC4","YDR508C","GNP1","Predicted",1,90,5,"Not A PMA1 Interactor"
"565","YJL012C","VTC4","YGR191W","HIP1","Predicted",1,90,5,"PMA1 Interactor"
"838","YJR064W","CCT5","YIL142W","CCT2","Predicted",1,90,5,"Not A PMA1 Interactor"
"866","YJR064W","CCT5","YDR212W","TCP1","Predicted",1,90,5,"Not A PMA1 Interactor"
"927","YJR109C","CPA2","YDR190C","RVB1","Predicted",1,90,5,"Not A PMA1 Interactor"
"940","YJR109C","CPA2","YER086W","ILV1","Predicted",1,90,5,"Not A PMA1 Interactor"
"1030","YKL010C","UFD4","YJR109C","CPA2","Predicted",1,90,5,"Not A PMA1 Interactor"
"1181","YKR082W","NUP133","YJR072C","NPA3","Predicted",1,90,5,"Not A PMA1 Interactor"
"1195","YKR082W","NUP133","YDR335W","MSN5","Predicted",1,90,5,"Not A PMA1 Interactor"
"1243","YLR056W","ERG3","YHR190W","ERG9","Predicted",1,90,5,"Not A PMA1 Interactor"
"1251","YLR056W","ERG3","YGR175C","ERG1","Predicted",1,90,5,"Not A PMA1 Interactor"
