"","target_orf","target","source_orf","source","interactor","min_peps","min_prob","min_crap_expt","pma_int"
"230","YER145C","FTR1","YEL013W","VAC8","Predicted",1,80,1,"Not A PMA1 Interactor"
"374","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,80,1,"Not A PMA1 Interactor"
"1477","YMR015C","ERG5","YGL055W","OLE1","Predicted",1,80,1,"Not A PMA1 Interactor"
"1716","YMR296C","LCB1","YDR062W","LCB2","Co-complex",1,80,1,"Not A PMA1 Interactor"
"1725","YMR296C","LCB1","YDR062W","LCB2","Literature",1,80,1,"Not A PMA1 Interactor"
"1740","YMR296C","LCB1","YDR062W","LCB2","Predicted",1,80,1,"Not A PMA1 Interactor"
"2223","YPR156C","TPO3","YER145C","FTR1","Predicted",1,80,1,"Not A PMA1 Interactor"
"1","YBR080C","SEC18","YBL050W","SEC17","Literature",1,80,3,"Not A PMA1 Interactor"
"39","YDL100C","GET3","YBR069C","TAT1","Predicted",1,80,3,"Not A PMA1 Interactor"
"185","YDR508C","GNP1","YDL100C","GET3","Predicted",1,80,3,"Not A PMA1 Interactor"
"186","YDR508C","GNP1","YBR069C","TAT1","Predicted",1,80,3,"Not A PMA1 Interactor"
"233","YER145C","FTR1","YEL013W","VAC8","Predicted",1,80,3,"Not A PMA1 Interactor"
"350","YGR191W","HIP1","YDR508C","GNP1","Predicted",1,80,3,"Not A PMA1 Interactor"
"354","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,80,3,"Not A PMA1 Interactor"
"384","YHR005C","GPA1","YDL100C","GET3","Predicted",1,80,3,"Not A PMA1 Interactor"
"544","YJL012C","VTC4","YGR191W","HIP1","Predicted",1,80,3,"PMA1 Interactor"
"546","YJL012C","VTC4","YDR508C","GNP1","Predicted",1,80,3,"Not A PMA1 Interactor"
"547","YJL012C","VTC4","YBR069C","TAT1","Predicted",1,80,3,"Not A PMA1 Interactor"
"906","YJR109C","CPA2","YER086W","ILV1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1042","YKL010C","UFD4","YJR109C","CPA2","Predicted",1,80,3,"Not A PMA1 Interactor"
"1183","YKR082W","NUP133","YJR072C","NPA3","Predicted",1,80,3,"Not A PMA1 Interactor"
"1197","YKR082W","NUP133","YDR335W","MSN5","Predicted",1,80,3,"Not A PMA1 Interactor"
"1262","YLR056W","ERG3","YHR190W","ERG9","Predicted",1,80,3,"Not A PMA1 Interactor"
"1265","YLR056W","ERG3","YGR175C","ERG1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1474","YMR015C","ERG5","YLR056W","ERG3","Predicted",1,80,3,"Not A PMA1 Interactor"
"1481","YMR015C","ERG5","YGR175C","ERG1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1487","YMR015C","ERG5","YGL055W","OLE1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1656","YMR235C","RNA1","YDR002W","YRB1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1658","YMR235C","RNA1","YJR109C","CPA2","Predicted",1,80,3,"Not A PMA1 Interactor"
"1710","YMR296C","LCB1","YDR062W","LCB2","Predicted",1,80,3,"Not A PMA1 Interactor"
"1733","YMR296C","LCB1","YDR062W","LCB2","Co-complex",1,80,3,"Not A PMA1 Interactor"
"1745","YMR296C","LCB1","YDR062W","LCB2","Literature",1,80,3,"Not A PMA1 Interactor"
"1762","YNL297C","MON2","YDR141C","DOP1","Co-complex",1,80,3,"Not A PMA1 Interactor"
"1799","YOL061W","PRS5","YKL181W","PRS1","Predicted",1,80,3,"Not A PMA1 Interactor"
"1901","YOR151C","RPB2","YJR072C","NPA3","Predicted",1,80,3,"Not A PMA1 Interactor"
"2192","YPR156C","TPO3","YER145C","FTR1","Predicted",1,80,3,"Not A PMA1 Interactor"
"2216","YPR156C","TPO3","YDR141C","DOP1","Predicted",1,80,3,"Not A PMA1 Interactor"
"12","YBR080C","SEC18","YBL050W","SEC17","Literature",1,80,5,"Not A PMA1 Interactor"
"38","YDL100C","GET3","YBR069C","TAT1","Predicted",1,80,5,"Not A PMA1 Interactor"
"43","YDL185W","VMA1","YBR025C","OLA1","Co-complex",1,80,5,"Not A PMA1 Interactor"
"99","YDR099W","BMH2","YDR062W","LCB2","Predicted",1,80,5,"Not A PMA1 Interactor"
"114","YDR190C","RVB1","YCR093W","CDC39","Predicted",1,80,5,"Not A PMA1 Interactor"
"125","YDR190C","RVB1","YBR287W","YBR287W","Predicted",1,80,5,"Not A PMA1 Interactor"
"157","YDR508C","GNP1","YDL100C","GET3","Predicted",1,80,5,"Not A PMA1 Interactor"
"173","YDR508C","GNP1","YBR069C","TAT1","Predicted",1,80,5,"Not A PMA1 Interactor"
"215","YER086W","ILV1","YDR190C","RVB1","Predicted",1,80,5,"Not A PMA1 Interactor"
"231","YER145C","FTR1","YEL013W","VAC8","Predicted",1,80,5,"Not A PMA1 Interactor"
"362","YGR191W","HIP1","YDR508C","GNP1","Predicted",1,80,5,"Not A PMA1 Interactor"
"378","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,80,5,"Not A PMA1 Interactor"
"381","YHR005C","GPA1","YDL100C","GET3","Predicted",1,80,5,"Not A PMA1 Interactor"
"406","YHR020W","YHR020W","YEL022W","GEA2","Co-complex",1,80,5,"Not A PMA1 Interactor"
"408","YHR020W","YHR020W","YGR175C","ERG1","Co-complex",1,80,5,"Not A PMA1 Interactor"
"450","YHR108W","GGA2","YGL206C","CHC1","Literature",1,80,5,"Not A PMA1 Interactor"
"451","YHR108W","GGA2","YGL206C","CHC1","Predicted",1,80,5,"Not A PMA1 Interactor"
"508","YIL142W","CCT2","YDR212W","TCP1","Predicted",1,80,5,"Not A PMA1 Interactor"
"516","YIL142W","CCT2","YDR188W","CCT6","Co-complex",1,80,5,"Not A PMA1 Interactor"
"530","YJL012C","VTC4","YDR508C","GNP1","Predicted",1,80,5,"Not A PMA1 Interactor"
"564","YJL012C","VTC4","YGR191W","HIP1","Predicted",1,80,5,"PMA1 Interactor"
"566","YJL012C","VTC4","YBR069C","TAT1","Predicted",1,80,5,"Not A PMA1 Interactor"
"847","YJR064W","CCT5","YDR212W","TCP1","Predicted",1,80,5,"Not A PMA1 Interactor"
"848","YJR064W","CCT5","YIL142W","CCT2","Predicted",1,80,5,"Not A PMA1 Interactor"
"909","YJR109C","CPA2","YER086W","ILV1","Predicted",1,80,5,"Not A PMA1 Interactor"
"944","YJR109C","CPA2","YDR190C","RVB1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1040","YKL010C","UFD4","YJR109C","CPA2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1198","YKR082W","NUP133","YJR072C","NPA3","Predicted",1,80,5,"Not A PMA1 Interactor"
"1201","YKR082W","NUP133","YDR335W","MSN5","Predicted",1,80,5,"Not A PMA1 Interactor"
"1241","YLR056W","ERG3","YHR190W","ERG9","Predicted",1,80,5,"Not A PMA1 Interactor"
"1245","YLR056W","ERG3","YGR175C","ERG1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1298","YLR106C","MDN1","YJR109C","CPA2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1341","YLR153C","ACS2","YBR025C","OLA1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1346","YLR153C","ACS2","YLR106C","MDN1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1351","YLR347C","KAP95","YJL026W","RNR2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1372","YLR347C","KAP95","YJR109C","CPA2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1475","YMR015C","ERG5","YGR175C","ERG1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1497","YMR015C","ERG5","YGL055W","OLE1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1498","YMR015C","ERG5","YLR056W","ERG3","Predicted",1,80,5,"Not A PMA1 Interactor"
"1652","YMR235C","RNA1","YJR109C","CPA2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1670","YMR235C","RNA1","YDR002W","YRB1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1717","YMR296C","LCB1","YDR062W","LCB2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1722","YMR296C","LCB1","YDR062W","LCB2","Literature",1,80,5,"Not A PMA1 Interactor"
"1730","YMR296C","LCB1","YDR062W","LCB2","Co-complex",1,80,5,"Not A PMA1 Interactor"
"1761","YNL297C","MON2","YDR141C","DOP1","Co-complex",1,80,5,"Not A PMA1 Interactor"
"1783","YOL061W","PRS5","YKL181W","PRS1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1833","YOR136W","IDH2","YJR109C","CPA2","Predicted",1,80,5,"Not A PMA1 Interactor"
"1856","YOR136W","IDH2","YDR190C","RVB1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1915","YOR151C","RPB2","YJR072C","NPA3","Predicted",1,80,5,"Not A PMA1 Interactor"
"1916","YOR151C","RPB2","YLR106C","MDN1","Predicted",1,80,5,"Not A PMA1 Interactor"
"1919","YOR151C","RPB2","YLR106C","MDN1","Co-complex",1,80,5,"Not A PMA1 Interactor"
"2196","YPR156C","TPO3","YDR141C","DOP1","Predicted",1,80,5,"Not A PMA1 Interactor"
"2215","YPR156C","TPO3","YER145C","FTR1","Predicted",1,80,5,"Not A PMA1 Interactor"
"7","YBR080C","SEC18","YBL050W","SEC17","Literature",1,80,7,"Not A PMA1 Interactor"
"20","YBR127C","VMA2","YBR069C","TAT1","Predicted",1,80,7,"Not A PMA1 Interactor"
"33","YDL100C","GET3","YBR069C","TAT1","Predicted",1,80,7,"Not A PMA1 Interactor"
"42","YDL185W","VMA1","YBR127C","VMA2","Literature",1,80,7,"Not A PMA1 Interactor"
"47","YDL185W","VMA1","YBR025C","OLA1","Co-complex",1,80,7,"Not A PMA1 Interactor"
"57","YDL185W","VMA1","YBR127C","VMA2","Co-complex",1,80,7,"Not A PMA1 Interactor"
"94","YDR099W","BMH2","YDR062W","LCB2","Predicted",1,80,7,"Not A PMA1 Interactor"
"113","YDR190C","RVB1","YBR287W","YBR287W","Predicted",1,80,7,"Not A PMA1 Interactor"
"124","YDR190C","RVB1","YCR093W","CDC39","Predicted",1,80,7,"Not A PMA1 Interactor"
"127","YDR190C","RVB1","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"150","YDR335W","MSN5","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"170","YDR508C","GNP1","YBR127C","VMA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"175","YDR508C","GNP1","YDL100C","GET3","Predicted",1,80,7,"Not A PMA1 Interactor"
"179","YDR508C","GNP1","YBR069C","TAT1","Predicted",1,80,7,"Not A PMA1 Interactor"
"201","YER086W","ILV1","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"203","YER086W","ILV1","YDR190C","RVB1","Predicted",1,80,7,"Not A PMA1 Interactor"
"227","YER145C","FTR1","YEL013W","VAC8","Predicted",1,80,7,"Not A PMA1 Interactor"
"289","YGL195W","GCN1","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"290","YGL195W","GCN1","YBR025C","OLA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"319","YGL195W","GCN1","YDR190C","RVB1","Predicted",1,80,7,"Not A PMA1 Interactor"
"330","YGL195W","GCN1","YBR025C","OLA1","Co-complex",1,80,7,"Not A PMA1 Interactor"
"347","YGR191W","HIP1","YBR127C","VMA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"353","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,80,7,"Not A PMA1 Interactor"
"366","YGR191W","HIP1","YDR508C","GNP1","Predicted",1,80,7,"Not A PMA1 Interactor"
"383","YHR005C","GPA1","YDL100C","GET3","Predicted",1,80,7,"Not A PMA1 Interactor"
"407","YHR020W","YHR020W","YEL022W","GEA2","Co-complex",1,80,7,"Not A PMA1 Interactor"
"409","YHR020W","YHR020W","YGR175C","ERG1","Co-complex",1,80,7,"Not A PMA1 Interactor"
"453","YHR108W","GGA2","YGL206C","CHC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"459","YHR108W","GGA2","YGL206C","CHC1","Literature",1,80,7,"Not A PMA1 Interactor"
"468","YHR108W","GGA2","YGL195W","GCN1","Predicted",1,80,7,"Not A PMA1 Interactor"
"502","YIL142W","CCT2","YDR188W","CCT6","Co-complex",1,80,7,"Not A PMA1 Interactor"
"518","YIL142W","CCT2","YDR212W","TCP1","Predicted",1,80,7,"Not A PMA1 Interactor"
"533","YJL012C","VTC4","YGR191W","HIP1","Predicted",1,80,7,"PMA1 Interactor"
"535","YJL012C","VTC4","YBR069C","TAT1","Predicted",1,80,7,"Not A PMA1 Interactor"
"542","YJL012C","VTC4","YDR508C","GNP1","Predicted",1,80,7,"Not A PMA1 Interactor"
"601","YJR045C","SSC1","YBR069C","TAT1","Predicted",1,80,7,"Not A PMA1 Interactor"
"604","YJR045C","SSC1","YDR508C","GNP1","Predicted",1,80,7,"Not A PMA1 Interactor"
"609","YJR045C","SSC1","YGL195W","GCN1","Predicted",1,80,7,"Not A PMA1 Interactor"
"621","YJR045C","SSC1","YGL206C","CHC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"626","YJR045C","SSC1","YBR025C","OLA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"661","YJR045C","SSC1","YER145C","FTR1","Predicted",1,80,7,"Not A PMA1 Interactor"
"670","YJR045C","SSC1","YGR191W","HIP1","Predicted",1,80,7,"PMA1 Interactor"
"674","YJR045C","SSC1","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"680","YJR045C","SSC1","YBR079C","RPG1","Predicted",1,80,7,"Not A PMA1 Interactor"
"683","YJR045C","SSC1","YHR108W","GGA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"694","YJR045C","SSC1","YDR141C","DOP1","Predicted",1,80,7,"Not A PMA1 Interactor"
"712","YJR045C","SSC1","YDL112W","TRM3","Predicted",1,80,7,"Not A PMA1 Interactor"
"728","YJR045C","SSC1","YDR335W","MSN5","Predicted",1,80,7,"Not A PMA1 Interactor"
"734","YJR045C","SSC1","YBR287W","YBR287W","Predicted",1,80,7,"Not A PMA1 Interactor"
"751","YJR045C","SSC1","YDL103C","QRI1","Predicted",1,80,7,"Not A PMA1 Interactor"
"758","YJR045C","SSC1","YGL055W","OLE1","Predicted",1,80,7,"Not A PMA1 Interactor"
"774","YJR045C","SSC1","YDR099W","BMH2","Predicted",1,80,7,"Not A PMA1 Interactor"
"851","YJR064W","CCT5","YDR212W","TCP1","Predicted",1,80,7,"Not A PMA1 Interactor"
"857","YJR064W","CCT5","YIL142W","CCT2","Predicted",1,80,7,"Not A PMA1 Interactor"
"860","YJR064W","CCT5","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"877","YJR065C","ARP3","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"885","YJR072C","NPA3","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"901","YJR109C","CPA2","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"918","YJR109C","CPA2","YER086W","ILV1","Predicted",1,80,7,"Not A PMA1 Interactor"
"929","YJR109C","CPA2","YDR190C","RVB1","Predicted",1,80,7,"Not A PMA1 Interactor"
"945","YJR121W","ATP2","YBR039W","ATP3","Predicted",1,80,7,"Not A PMA1 Interactor"
"953","YJR121W","ATP2","YBR025C","OLA1","Co-complex",1,80,7,"Not A PMA1 Interactor"
"976","YJR121W","ATP2","YDL185W","VMA1","Co-complex",1,80,7,"Not A PMA1 Interactor"
"979","YJR121W","ATP2","YBR025C","OLA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1037","YKL010C","UFD4","YJR109C","CPA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1074","YKL181W","PRS1","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1077","YKL181W","PRS1","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1083","YKL182W","FAS1","YDL112W","TRM3","Co-complex",1,80,7,"Not A PMA1 Interactor"
"1087","YKL182W","FAS1","YDR099W","BMH2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1103","YKL182W","FAS1","YJR109C","CPA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1107","YKL182W","FAS1","YDL112W","TRM3","Predicted",1,80,7,"Not A PMA1 Interactor"
"1185","YKR082W","NUP133","YDR335W","MSN5","Predicted",1,80,7,"Not A PMA1 Interactor"
"1199","YKR082W","NUP133","YJR072C","NPA3","Predicted",1,80,7,"Not A PMA1 Interactor"
"1246","YLR056W","ERG3","YHR190W","ERG9","Predicted",1,80,7,"Not A PMA1 Interactor"
"1254","YLR056W","ERG3","YGR175C","ERG1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1273","YLR106C","MDN1","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1303","YLR106C","MDN1","YJR109C","CPA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1310","YLR153C","ACS2","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1312","YLR153C","ACS2","YBR025C","OLA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1333","YLR153C","ACS2","YLR106C","MDN1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1349","YLR347C","KAP95","YJL026W","RNR2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1353","YLR347C","KAP95","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1384","YLR347C","KAP95","YJR109C","CPA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1397","YLR378C","SEC61","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1406","YLR447C","VMA6","YBR127C","VMA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1421","YML072C","TCB3","YER145C","FTR1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1455","YML120C","NDI1","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1478","YMR015C","ERG5","YGL055W","OLE1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1489","YMR015C","ERG5","YLR056W","ERG3","Predicted",1,80,7,"Not A PMA1 Interactor"
"1494","YMR015C","ERG5","YGR175C","ERG1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1507","YMR108W","ILV2","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1654","YMR235C","RNA1","YDR002W","YRB1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1661","YMR235C","RNA1","YJR109C","CPA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1690","YMR241W","YHM2","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1707","YMR296C","LCB1","YDR062W","LCB2","Co-complex",1,80,7,"Not A PMA1 Interactor"
"1739","YMR296C","LCB1","YDR062W","LCB2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1741","YMR296C","LCB1","YDR062W","LCB2","Literature",1,80,7,"Not A PMA1 Interactor"
"1751","YNL297C","MON2","YDR141C","DOP1","Co-complex",1,80,7,"Not A PMA1 Interactor"
"1771","YNR013C","PHO91","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1792","YOL061W","PRS5","YKL181W","PRS1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1802","YOL061W","PRS5","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1817","YOR136W","IDH2","YDR190C","RVB1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1824","YOR136W","IDH2","YGL195W","GCN1","Co-complex",1,80,7,"Not A PMA1 Interactor"
"1829","YOR136W","IDH2","YGL195W","GCN1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1845","YOR136W","IDH2","YJR109C","CPA2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1859","YOR136W","IDH2","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1891","YOR151C","RPB2","YJR072C","NPA3","Predicted",1,80,7,"Not A PMA1 Interactor"
"1892","YOR151C","RPB2","YLR106C","MDN1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1893","YOR151C","RPB2","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1898","YOR151C","RPB2","YLR106C","MDN1","Co-complex",1,80,7,"Not A PMA1 Interactor"
"1947","YPL106C","SSE1","YJR072C","NPA3","Predicted",1,80,7,"Not A PMA1 Interactor"
"1949","YPL106C","SSE1","YLR153C","ACS2","Predicted",1,80,7,"Not A PMA1 Interactor"
"1954","YPL106C","SSE1","YDL103C","QRI1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1958","YPL106C","SSE1","YDL055C","PSA1","Predicted",1,80,7,"Not A PMA1 Interactor"
"1978","YPL106C","SSE1","YLR347C","KAP95","Predicted",1,80,7,"Not A PMA1 Interactor"
"1987","YPL106C","SSE1","YGL206C","CHC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"2007","YPL106C","SSE1","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"2158","YPL249C","GYP5","YBR079C","RPG1","Predicted",1,80,7,"Not A PMA1 Interactor"
"2184","YPL249C","GYP5","YPL106C","SSE1","Predicted",1,80,7,"Not A PMA1 Interactor"
"2188","YPL249C","GYP5","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"2198","YPR156C","TPO3","YML072C","TCB3","Predicted",1,80,7,"Not A PMA1 Interactor"
"2202","YPR156C","TPO3","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"2206","YPR156C","TPO3","YER145C","FTR1","Predicted",1,80,7,"Not A PMA1 Interactor"
"2236","YPR156C","TPO3","YPL106C","SSE1","Predicted",1,80,7,"Not A PMA1 Interactor"
"2258","YPR156C","TPO3","YDR141C","DOP1","Predicted",1,80,7,"Not A PMA1 Interactor"
"2261","YPR181C","SEC23","YJR045C","SSC1","Predicted",1,80,7,"Not A PMA1 Interactor"
"4","YBR080C","SEC18","YBL050W","SEC17","Literature",1,80,9,"Not A PMA1 Interactor"
"21","YBR127C","VMA2","YBR069C","TAT1","Predicted",1,80,9,"Not A PMA1 Interactor"
"34","YDL100C","GET3","YBR069C","TAT1","Predicted",1,80,9,"Not A PMA1 Interactor"
"48","YDL185W","VMA1","YBR127C","VMA2","Literature",1,80,9,"Not A PMA1 Interactor"
"73","YDL185W","VMA1","YBR127C","VMA2","Co-complex",1,80,9,"Not A PMA1 Interactor"
"79","YDL185W","VMA1","YBR025C","OLA1","Co-complex",1,80,9,"Not A PMA1 Interactor"
"98","YDR099W","BMH2","YDR062W","LCB2","Predicted",1,80,9,"Not A PMA1 Interactor"
"110","YDR190C","RVB1","YCR093W","CDC39","Predicted",1,80,9,"Not A PMA1 Interactor"
"117","YDR190C","RVB1","YDL055C","PSA1","Predicted",1,80,9,"Not A PMA1 Interactor"
"119","YDR190C","RVB1","YBR287W","YBR287W","Predicted",1,80,9,"Not A PMA1 Interactor"
"144","YDR335W","MSN5","YDL055C","PSA1","Predicted",1,80,9,"Not A PMA1 Interactor"
"159","YDR508C","GNP1","YBR127C","VMA2","Predicted",1,80,9,"Not A PMA1 Interactor"
"162","YDR508C","GNP1","YDL100C","GET3","Predicted",1,80,9,"Not A PMA1 Interactor"
"164","YDR508C","GNP1","YBR069C","TAT1","Predicted",1,80,9,"Not A PMA1 Interactor"
"195","YEL031W","SPF1","YCR012W","PGK1","Predicted",1,80,9,"Not A PMA1 Interactor"
"197","YER086W","ILV1","YDR190C","RVB1","Predicted",1,80,9,"Not A PMA1 Interactor"
"208","YER086W","ILV1","YDL055C","PSA1","Predicted",1,80,9,"Not A PMA1 Interactor"
"229","YER145C","FTR1","YEL013W","VAC8","Predicted",1,80,9,"Not A PMA1 Interactor"
"238","YFL037W","TUB2","YER086W","ILV1","Predicted",1,80,9,"Not A PMA1 Interactor"
"245","YFL037W","TUB2","YDL055C","PSA1","Predicted",1,80,9,"Not A PMA1 Interactor"
"246","YFL037W","TUB2","YDR190C","RVB1","Predicted",1,80,9,"Not A PMA1 Interactor"
"248","YFL037W","TUB2","YBR079C","RPG1","Predicted",1,80,9,"Not A PMA1 Interactor"
"254","YFL037W","TUB2","YDR335W","MSN5","Predicted",1,80,9,"Not A PMA1 Interactor"
"264","YFL037W","TUB2","YDR062W","LCB2","Predicted",1,80,9,"Not A PMA1 Interactor"
"285","YGL195W","GCN1","YFL037W","TUB2","Predicted",1,80,9,"Not A PMA1 Interactor"
"316","YGL195W","GCN1","YDL055C","PSA1","Predicted",1,80,9,"Not A PMA1 Interactor"
"327","YGL195W","GCN1","YBR025C","OLA1","Co-complex",1,80,9,"Not A PMA1 Interactor"
"328","YGL195W","GCN1","YDR190C","RVB1","Predicted",1,80,9,"Not A PMA1 Interactor"
"336","YGL195W","GCN1","YBR025C","OLA1","Predicted",1,80,9,"Not A PMA1 Interactor"
"360","YGR191W","HIP1","YDR508C","GNP1","Predicted",1,80,9,"Not A PMA1 Interactor"
"365","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,80,9,"Not A PMA1 Interactor"
"370","YGR191W","HIP1","YBR127C","VMA2","Predicted",1,80,9,"Not A PMA1 Interactor"
"391","YHR005C","GPA1","YDL100C","GET3","Predicted",1,80,9,"Not A PMA1 Interactor"
"398","YHR020W","YHR020W","YEL022W","GEA2","Co-complex",1,80,9,"Not A PMA1 Interactor"
"403","YHR020W","YHR020W","YGR175C","ERG1","Co-complex",1,80,9,"Not A PMA1 Interactor"
"422","YHR064C","SSZ1","YDR508C","GNP1","Predicted",1,80,9,"Not A PMA1 Interactor"
"439","YHR064C","SSZ1","YDR457W","TOM1","Predicted",1,80,9,"Not A PMA1 Interactor"
"440","YHR064C","SSZ1","YGR191W","HIP1","Predicted",1,80,9,"PMA1 Interactor"
"444","YHR064C","SSZ1","YBR069C","TAT1","Predicted",1,80,9,"Not A PMA1 Interactor"
"458","YHR108W","GGA2","YGL195W","GCN1","Predicted",1,80,9,"Not A PMA1 Interactor"
"467","YHR108W","GGA2","YGL206C","CHC1","Literature",1,80,9,"Not A PMA1 Interactor"
"477","YHR108W","GGA2","YGL206C","CHC1","Predicted",1,80,9,"Not A PMA1 Interactor"
"507","YIL142W","CCT2","YDR188W","CCT6","Co-complex",1,80,9,"Not A PMA1 Interactor"
"509","YIL142W","CCT2","YDR212W","TCP1","Predicted",1,80,9,"Not A PMA1 Interactor"
"526","YJL012C","VTC4","YGR191W","HIP1","Predicted",1,80,9,"PMA1 Interactor"
"540","YJL012C","VTC4","YBR069C","TAT1","Predicted",1,80,9,"Not A PMA1 Interactor"
"554","YJL012C","VTC4","YDR508C","GNP1","Predicted",1,80,9,"Not A PMA1 Interactor"
"610","YJR045C","SSC1","YGL195W","GCN1","Predicted",1,80,9,"Not A PMA1 Interactor"
"628","YJR045C","SSC1","YBR025C","OLA1","Predicted",1,80,9,"Not A PMA1 Interactor"
"640","YJR045C","SSC1","YDL112W","TRM3","Predicted",1,80,9,"Not A PMA1 Interactor"
"679","YJR045C","SSC1","YFL037W","TUB2","Predicted",1,80,9,"Not A PMA1 Interactor"
"701","YJR045C","SSC1","YDR099W","BMH2","Predicted",1,80,9,"Not A PMA1 Interactor"
"703","YJR045C","SSC1","YDR141C","DOP1","Predicted",1,80,9,"Not A PMA1 Interactor"
"705","YJR045C","SSC1","YER145C","FTR1","Predicted",1,80,9,"Not A PMA1 Interactor"
"708","YJR045C","SSC1","YDR335W","MSN5","Predicted",1,80,9,"Not A PMA1 Interactor"
